en,hi,confidence
"hell hath no fury like a woman scorned; heav'n has no rage, like love to hatred turn'd, nor hell a fury, like a woman scorn'd",औरत की आह से बचो,4
"hell is full of good meanings, but heaven is full of good works","नियत से नहीं, नियत के साथ काम से फल मिलता है",4
"hic rhodus, hic salta","यहीं कूद, यहीं मैदान",6
hindsight is 20/20,बाद में सबको अक्ल आ जाती है,7
hindsight is always twenty-twenty,बाद में सबको अक्ल आ जाती है,7
history is written by the victors,इतिहास विजेताओं का लिखा जाता है,8
history repeats itself,इतिहास खुद को दोहराता है,9
home is where the heart is,दिल जहाँ लगे वही घर होता है,9
home is where you hang your hat,जहाँ सिर रखो वही घर,6
honesty is the best policy,ईमानदारी सबसे बड़ी नीति है,9
honey catches more flies than vinegar,मीठी बोली से सब वश में हो जाते हैं,8
"hope for the best, and prepare for the worst","अच्छी आशा रखो, बुरे समय की तैयारी भी करो",7
"hope for the best, prepare for the worst","अच्छी आशा रखो, बुरे समय की तैयारी भी करो",7
hope springs eternal,आशा पर दुनिया कायम है,9
hope springs eternal in the human breast,आशा पर दुनिया कायम है,9
horses for courses,जैसी जरूरत वैसा इन्तज़ाम,5
how long is a piece of string,"कितना लंबा है, ये भी कोई सवाल है",4
how you get them is how you lose them,जैसा आएगा वैसा ही जाएगा,6
hunger is a good sauce,भूख सबसे अच्छा चटनी है,6
hunger is the best pickle,भूख सबसे अच्छा अचार है,6
hunger is the best sauce,भूख सबसे अच्छा चटनी है,6
hunger is the best seasoning,भूख सबसे अच्छा मसाला है,6
hunger is the best spice,भूख सबसे अच्छा मसाला है,7
hunt where the ducks are,जहाँ धुआँ होता है वहीं आग होती है,3
hurt people hurt people,जला हुआ दूध फूँक-फूँक कर पीता है,4
i want doesn't get,"रोने वाले के नहीं, जगने वाले के भाग्य खुलते हैं",3
idle hands are the devil's playthings,खाली दिमाग शैतान का घर,10
idle hands are the devil's tools,खाली दिमाग शैतान का घर,10
idle hands are the devil's workshop,खाली दिमाग शैतान का घर,10
idle hands make work for the devil,खाली दिमाग शैतान का घर,10
"if a job is worth doing, it is worth doing well","जो काम करो, दिल से करो",7
"if all you have is a hammer, everything looks like a nail","जिसके पास सिर्फ हथौड़ा हो, उसे हर चीज कील दिखती है",3
"if all you've got is a hammer, everything looks like a nail","जिसके पास सिर्फ हथौड़ा हो, उसे हर चीज कील दिखती है",3
"if anything can go wrong, it will",जैसा डर था वैसा ही हुआ,4
"if at first you do not succeed, try, try again",कोशिश करने वालों की कभी हार नहीं होती,10
if at first you don't succeed,कोशिश करने वालों की कभी हार नहीं होती,9
"if at first you don't succeed, try try again",कोशिश करने वालों की कभी हार नहीं होती,10
"if god had meant us to fly, he would have given us wings",जितनी चादर हो उतने ही पैर फैलाओ,6
"if ifs and ands were pots and pans, there would be no work for tinkers",अगर-मगर से काम नहीं चलता,6
"if ifs and buts were candies and nuts, we'd all have a merry christmas",अगर-मगर से काम नहीं चलता,6
"if ifs and buts were candy and nuts, we'd all have a merry christmas",अगर-मगर से काम नहीं चलता,6
"if it ain't broke, don't fix it",जो चीज़ ठीक चल रही हो उसे छेड़ो मत,5
"if it ain't busted, don't fix it",जो चीज़ ठीक चल रही हो उसे छेड़ो मत,5
"if it looks like a duck, swims like a duck, and quacks like a duck, then it probably is a duck",जैसा दीखे तैसा होए,4
"if it looks like a duck, swims like a duck, and quacks like a duck, then it's probably a duck",जैसा दीखे तैसा होए,4
"if it were a snake, it would have bit you",नाक के नीचे की चीज़ नज़र नहीं आती,5
if it were not for hope the heart would break,आशा पर दुनिया कायम है,9
if pigs had wings they would fly,अगर के सहारे घर नहीं चलते,6
"if the mountain will not come to mohammed, then mohammed must go to the mountain",पहाड़ मुहम्मद के पास नहीं आता तो मुहम्मद को पहाड़ के पास जाना पड़ता है,3
if the mountain won't come to mohammed,पहाड़ मुहम्मद के पास नहीं आता तो मुहम्मद को पहाड़ के पास जाना पड़ता है,3
if the mountain won't come to muhammad,पहाड़ मुहम्मद के पास नहीं आता तो मुहम्मद को पहाड़ के पास जाना पड़ता है,3
"if the mountain won't come to muhammad, then muhammad must go to the mountain",पहाड़ मुहम्मद के पास नहीं आता तो मुहम्मद को पहाड़ के पास जाना पड़ता है,3
"if the shoe fits, wear it","जिस पर बात लगे, वही समझे",8
"if we had ham we could have ham and eggs, if we had eggs",अगर-मगर से पेट नहीं भरता,6
"if we had some ham we could have some ham and eggs, if we had some eggs",अगर-मगर से पेट नहीं भरता,6
"if wealth is lost, nothing is lost. if health is lost, something is lost. if character is lost, everything is lost","धन जाए तो कुछ नहीं, स्वास्थ्य जाए तो कुछ गया, चरित्र जाए तो सब गया",9
"if wishes were horses, beggars might ride","इच्छा से नहीं, प्रयास से काम बनता है",6
"if wishes were horses, beggars would ride","इच्छा से नहीं, प्रयास से काम बनता है",6
"if you aim at nothing, you'll hit it every time",निशाना ही नहीं तो वार कैसा,5
"if you build it, they will come","मन लगाकर काम करो, फल अपने आप मिलेगा",5
"if you can't be good, be careful","भले न बनो, पर संभलकर चलो",4
"if you can't beat them, join them",जिसकी लाठी उसकी भैंस,6
"if you can't do the time, don't do the crime",जैसी करनी वैसी भरनी,8
"if you can't lick them, join them",जिसकी लाठी उसकी भैंस,6
"if you can't stand the heat, get out of the kitchen",नाच न जाने आँगन टेढ़ा,7
"if you find yourself in a hole, the first thing to do is stop digging","डूबते को तिनके का सहारा नहीं, तैरना सीखो",3
"if you fly with the crows, you get shot with the crows",संगत का असर पड़ता है,8
"if you give a mouse a cookie, he'll always ask for a glass of milk",जिसकी लाठी उसकी भैंस,3
"if you lie down with dogs, you get up with fleas",जैसी संगत वैसा रंग,9
"if you lie down with dogs, you will get up with fleas",जैसी संगत वैसा रंग,9
if you lie with dogs you will get fleas,जैसी संगत वैसा रंग,9
"if you mess with the bull, you get the horns",साँड़ से पंगा लोगे तो सींग ही लगेंगे,6
"if you pay bananas, you get monkeys","जितनी कीमत, उतना माल",7
"if you pay peanuts, you get monkeys","जितनी कीमत, उतना माल",8
"if you play with fire, you will get burned",आग से खेलने वाला हाथ ही जलाता है,9
"if you think that you know everything, then you're a jack ass",अधजल गगरी छलकत जाए,7
"if you want a thing done well, do it yourself",अपना काम खुदा भी करता है,8
"if you want peace, prepare for war",शांति चाहो तो शक्ति रखो,5
"if you've got it, flaunt it","जिसके पास धन, वही शान दिखाए",4
ignorance is bliss,"अनजान भला, जानकर झंझट",6
ill doers are ill deemers,चोर की दाढ़ी में तिनका,7
ill news spreads apace,बुरी खबर जल्दी फैलती है,8
ill-gotten gains never prosper,हराम की कमाई हराम ही जाती है,9
imitation is the sincerest form of flattery,नकल सबसे बड़ी तारीफ़ है,6
"in for a dime, in for a dollar",जैसा देस वैसा भेस,4
"in for a penny, in for a pound",जब सिर फँसा तो पाँव भी सही,8
"in for an inch, in for a mile",जब सिर फँसा तो पाँव भी सही,8
"in the country of the blind, the one-eyed man is king",अंधों में काना राजा,10
"in the kingdom of the blind, the one eyed man is king",अंधों में काना राजा,10
"in the land of the blind, the one-eyed man is king",अंधों में काना राजा,10
"in the midst of life, we are in death",जन्म लिया है तो मरना भी पड़ेगा,6
"in the valley of the blind, the one-eyed man is king",अंधों में काना राजा,10
"in unity, there is strength",एकता में बल है,10
in vino veritas,नशे में सच्चाई बाहर आ जाती है,5
"in wine, there is truth",नशे में सच्चाई बाहर आ जाती है,5
into every life a little rain must fall,हर दिन एक जैसा नहीं होता,6
it ain't over 'til the fat lady sings,अंत भला तो सब भला,5
it ain't over till it's over,अंत भला तो सब भला,6
it ain't over till the fat lady sings,अंत भला तो सब भला,5
it ain't over till/until it's over,अंत भला तो सब भला,6
it ain't over until the fat lady sings,अंत भला तो सब भला,5
it goes without saying,कहने की ज़रूरत नहीं,8
it is a small world,दुनिया बहुत छोटी है,9
it is always darkest before the dawn,सुबह होने से पहले रात सबसे काली होती है,7
it is always darkest just before the dawn,सुबह होने से पहले रात सबसे काली होती है,7
it is an ill wind,हर बुराई में कुछ भलाई होती है,6
it is best to be on the safe side,"सावधानी हटी, दुर्घटना घटी",9
it is better to be smarter than you appear than to appear smarter than you are,खाली बर्तन ज़्यादा बजते हैं,6
"it is better to cultivate a land with two bulls, rather working under boss who never gives wage when asked",अपना काम अपने हाथ,5
it is better to give than to receive,देने वाला ही बड़ा होता है,7
it is better to light a candle than curse the darkness,अंधेरे को कोसने से अच्छा है एक दिया जलाना,10
it is darkest before the dawn,सुबह होने से पहले रात सबसे काली होती है,7
it is darkest just before the dawn,सुबह होने से पहले रात सबसे काली होती है,7
it is easy to be wise after the event,घटना के बाद सबको अक्ल आती है,6
it is easy to find a stick to beat a dog,मारने के लिए कुत्ते को भी बहाना चाहिए,7
it is never too late,देर आए दुरुस्त आए,10
it is no use crying over spilt milk,अब पछताए होत क्या जब चिड़िया चुग गई खेत,10
it is no use locking the stable door after the horse has bolted,जब चिड़िया चुग गई खेत तब क्या पछताना,10
it is not the whistle that pulls the train,ढोल की पोल खोलो तो खोखला निकलेगा,2
it is the early bird that gets the worm,"जो सोवत है सो खोवत है, जो जागत है सो पावत है",10
it is the empty can that makes the most noise,खाली बर्तन ज़्यादा बजते हैं,10
it is the last straw that breaks the camel's back,ऊँट की कमर पर आख़िरी तिनका ही भारी पड़ता है,6
it is what it is,जो है सो है,8
it isn't over 'til the fat lady sings,अंत भला तो सब भला,6
it isn't over till the fat lady sings,अंत भला तो सब भला,6
it isn't over until the fat lady sings,अंत भला तो सब भला,6
it isn't the whistle that pulls the train,ढोल की पोल खोलो तो खोखला निकलेगा,2
it needs a hundred lies to cover a single lie,एक झूठ को छुपाने के लिए सौ झूठ बोलने पड़ते हैं,9
it never rains but it pours,मुसीबत अकेली नहीं आती,10
it never rains but that it pours,मुसीबत अकेली नहीं आती,10
it takes a heap o' livin' to make a house a home,घर को घर बनाने में उम्र बीत जाती है,6
it takes a heap of living to make a house a home,घर को घर बनाने में उम्र बीत जाती है,6
it takes a lot of living to make a house a home,घर को घर बनाने में उम्र बीत जाती है,6
it takes a thief to catch a thief,चोर की दाढ़ी में तिनका,3
it takes all kinds,"नाना प्रकार के लोग, नाना प्रकार की बातें",4
it takes all kinds to make a world,संसार तरह-तरह के लोगों से भरा है,5
it takes all sorts,"नाना प्रकार के लोग, नाना प्रकार की बातें",4
it takes all sorts to make a world,संसार तरह-तरह के लोगों से भरा है,5
it takes one to know one,चोर-चोर मौसेरे भाई,7
it takes two to make a quarrel,ताली एक हाथ से नहीं बजती,10
it takes two to quarrel,ताली एक हाथ से नहीं बजती,10
it takes two to tango,ताली एक हाथ से नहीं बजती,10
it will come back and haunt you,जैसा करोगे वैसा भरोगे,8
it's a long road that has no turning,हर रात के बाद सवेरा होता है,6
it's a man's world,दुनिया मर्दों की है,7
"it's a tough job, but someone's got to do it",किसी न किसी को तो करना ही पड़ेगा,6
it's all fun and games until someone loses an eye,हँसी‑मज़ाक की भी हद होती है,5
it's an ill bird that fouls its own nest,घर की मुर्गी दाल बराबर,5
it's an ill wind that blows no good,हर बुराई में भी कुछ भलाई होती है,7
it's an ill wind that blows no one any good,हर बुराई में भी कुछ भलाई होती है,7
it's an ill wind that blows nobody any good,हर बुराई में भी कुछ भलाई होती है,7
it's an ill wind that blows nobody good,हर बुराई में भी कुछ भलाई होती है,7
it's greek to me,यह तो मेरे सिर के ऊपर से गया,8
it's lonely at the top,ऊँचे पहाड़ पर पेड़ अकेला होता है,4
it's never too late to mend,जागो तभी सवेरा,9
it's not over 'til the fat lady sings,अंत भला तो सब भला,5
it's not over till the fat lady sings,अंत भला तो सब भला,5
it's not over until the fat lady sings,अंत भला तो सब भला,5
it's not what you know but who you know,"काम ज्ञान से नहीं, जान‑पहचान से चलता है",6
it's not what you know but whom you know,"काम ज्ञान से नहीं, जान‑पहचान से चलता है",6
it's not what you say but how you say it,"बात नहीं, कहने का ढंग मायने रखता है",7
it's the hit dog that howls,चोर की दाढ़ी में तिनका,9
it's the little things,छोटी‑छोटी बातें ही बड़ी बन जाती हैं,4
it's the thought that counts,"भावना देखी जाती है, वस्तु नहीं",8
"jack of all trades, master of none/one/some",न नौ मन तेल होगा न राधा नाचेगी,2
"judge not, lest ye be judged",जैसा करोगे वैसा भरोगे,6
"judge not, that ye be not judged",जैसा करोगे वैसा भरोगे,6
"judge not, that you be not judged",जैसा करोगे वैसा भरोगे,6
justice delayed is justice denied,"देर से मिला न्याय, अन्याय के बराबर है",9
justice is blind,न्याय अंधा होता है,7
karma is a bitch,जैसा करोगे वैसा भरोगे,9
karma's a bitch,जैसा करोगे वैसा भरोगे,9
keep your chin up,हिम्मत मत हारो,8
keep your friends close and your enemies closer,दुश्मन को भी पास रखो,6
"keep your friends close, and your enemies closer",दुश्मन को भी पास रखो,6
keep your powder dry,तलवार हमेशा तेज रखो,4
kids will be kids,बच्चे तो बच्चे ही रहेंगे,8
let the dead bury the dead,"जो गया सो गया, जो बचा है वही अपना है",5
let the punishment fit the crime,जैसा कर्म वैसा फल,8
let well alone,जो चल रहा है उसे चलने दो,6
let your hair down,दिल खोलकर जीना,7
life begins at forty,चालीस के बाद ही असली समझ आती है,4
life is like a box of chocolates,"ज़िंदगी रंग–बिरंगी पोटली है, क्या निकले कोई नहीं जानता",4
life is not all beer and skittles,ज़िंदगी कोई खेल नहीं है,6
life is too short not to do something that matters,"ज़िंदगी बहुत छोटी है, कुछ कर गुजरने के लिए",5
life is what you make it,जैसी दृष्टि वैसी सृष्टि,8
life's a bitch and then you die,"ज़िंदगी जंजाल है, अंत में सबको जाना है",4
"life's a bitch, and then you die","ज़िंदगी जंजाल है, अंत में सबको जाना है",4
lightning does not strike twice in the same place,एक ही चोट दो बार नहीं लगती,5
lightning doesn't strike twice in the same place,एक ही चोट दो बार नहीं लगती,5
lightning never strikes the same place twice,एक ही चोट दो बार नहीं लगती,5
lightning never strikes twice,एक ही चोट दो बार नहीं लगती,5
lightning never strikes twice in the same place,एक ही चोट दो बार नहीं लगती,5
like father like son,जैसा बाप वैसा बेटा,10
"like father, like son",जैसा बाप वैसा बेटा,10
"like mother, like daughter",जैसी माँ वैसी बेटी,9
little pitchers have big ears,दीवारों के भी कान होते हैं,7
little pitchers have long ears,दीवारों के भी कान होते हैं,7
little strokes fell great oaks,बूँद–बूँद से घड़ा भरता है,9
little things please little minds,जैसी सोच वैसी खुशी,4
live and let live,खुद भी जीओ औरों को भी जीने दो,10
"live by the sword, die by the sword",जैसा करोगे वैसा भरोगे,9
live each day as if it were your last and one day you will surely be right,"कल किसने देखा है, आज का दिन जी लो",7
"live fast, die young",तेज़ रफ़्तार की मंज़िल जल्दी आती है,4
"live for today, for tomorrow never comes",कल किसने देखा है,9
"live not to eat, but eat to live","जीने के लिए खाओ, खाने के लिए मत जियो",8
live to fight another day,जान है तो जहान है,8
"location, location, location",जगह ही सब कुछ है,3
"long absent, soon forgotten","आँखों से दूर, दिल से दूर",9
look before you leap,कूदने से पहले सोचो,8
lookers-on see most of the game,बाहर वाला खेल ज़्यादा साफ़ देखता है,4
looks can be deceiving,"दिखावे पर मत जाओ, अपनी अक़्ल लगाओ",8
loose lips sink ships,"ज़ुबान संभालकर चलो, बात का बतंगड़ बन जाता है",6
loss and gain are brothers twain,लाभ हानि एक समान,8
love cannot be forced,प्यार ज़बरदस्ती नहीं होता,9
love conquers all,प्यार सब पर भारी पड़ता है,7
love is blind,प्यार अँधा होता है,10
love makes the world go around,दुनिया प्यार से चलती है,7
love of money is the root of all evil,धन का लोभ सब अनर्थों की जड़ है,7
love will find a way,जहाँ चाह वहाँ राह,8
"lucky at cards, unlucky in love","जुए में किस्मत, इश्क़ में बदकिस्मत",6
make hay while the sun shines,लोहे को गरम देख तभी चोट करो,9
make it do or do without,जैसा है वैसा ही काम चलाओ,6
make love not war,"युद्ध नहीं, प्रेम करो",7
man does not live by bread alone,मनुष्य केवल रोटी से नहीं जीता,8
man is a wolf to man,मनुष्य ही मनुष्य का भेड़िया है,6
man plans and god laughs,"मनुष्य सोचता है, ईश्वर होता है",6
"man proposes, god disposes","मनुष्य प्रस्ताव करता है, ईश्वर निपटारा करता है",6
"man proposes, heaven disposes","मनुष्य प्रस्ताव करता है, ऊपरवाला निपटारा करता है",6
man shall not live by bread alone,मनुष्य केवल रोटी से नहीं जीता,9
"man thinks, god laughs","मनुष्य सोचता है, ईश्वर हँसता है",6
manners maketh man,आदमी की पहचान उसके संस्कारों से होती है,7
many a little makes a mickle,बूँद बूँद से सागर भरता है,10
many a mickle makes a muckle,बूँद बूँद से सागर भरता है,10
many a true word is spoken in jest,मज़ाक मज़ाक में सच्ची बात निकल जाती है,7
many hands make light work,एक और एक ग्यारह होते हैं,9
marriages are made in heaven,शादियाँ ऊपरवाला बनाता है,8
"marry in haste, repent at leisure",जल्दी का काम शैतान का,7
measure twice and cut once,नापो तौलो फिर बोलो,7
"measure twice, cut once",नापो तौलो फिर बोलो,7
men are blind in their own cause,अपनी बारी में सबको अपनी ही सूझती है,5
mess with the bull and you get the horns,जैसे को तैसा,7
"mess with the bull, get the horns",जैसे को तैसा,7
might is right,जिसकी लाठी उसकी भैंस,10
might makes right,जिसकी लाठी उसकी भैंस,10
mighty oaks from little acorns grow,बूंद-बूंद से सागर भरता है,9
milking the bull,ऊँट के मुँह में जीरा,3
misery enjoys company,दुखिया के संग सब दुखिया,6
misery loves company,दुखिया के संग सब दुखिया,7
misfortunes never come alone,मुसीबतें अकेली नहीं आतीं,9
misfortunes never come singly,मुसीबतें अकेली नहीं आतीं,9
moderation in all things,अति सर्वत्र वर्ज्या,10
money can't buy happiness,पैसा सुख नहीं खरीद सकता,8
money cannot buy happiness,पैसा सुख नहीं खरीद सकता,8
"money demands care, you abuse it and it disappears","धन की कद्र करो, धन तुम्हारी कद्र करेगा",6
money does not grow on trees,पैसा पेड़ों पर नहीं उगता,9
money does not smell,धन का न धर्म होता है न कर्म,6
money does not stink,धन का न धर्म होता है न कर्म,6
money doesn't grow on trees,पैसा पेड़ों पर नहीं उगता,9
"money earned by deceit, goes by deceit",जैसा कमाओगे वैसा ही खाओगे,5
money has no smell,धन का न धर्म होता है न कर्म,6
money is not everything,पैसा ही सब कुछ नहीं होता,9
money is the root of all evil,धन ही सब अनर्थों की जड़ है,7
"money makes many things, but also makes devil dance",धन से काम भी बनते हैं और बिगड़ते भी हैं,5
money makes the world go around,पैसा बोलता है,7
money talks,पैसा बोलता है,10
money talks and bullshit walks,पैसा बोले तो बात बनती है,6
"money talks, bullshit walks",पैसा बोले तो बात बनती है,6
"more haste, less speed",जल्दी का काम शैतान का,10
mud sticks,दाग लग जाए तो आसानी से नहीं छूटता,6
murder will out,सच्चाई छुपाए नहीं छुपती,8
music has charms to soothe the savage beast,संगीत से पत्थर भी पिघल जाते हैं,7
my enemy's enemy is my friend,दुश्मन का दुश्मन दोस्त होता है,10
nearly never won the race,लगभग से काम नहीं चलता,4
necessity is the mother of innovation,ज़रूरत आविष्कार की जननी है,8
necessity is the mother of invention,ज़रूरत आविष्कार की जननी है,10
necessity knows no law,भूखे भजन न होय गोपाला,7
needs must,मजबूरी का नाम महात्मा गांधी,8
needs must when the devil drives,मजबूरी का नाम महात्मा गांधी,8
neither a borrower nor a lender be,उधार मित्रता की दुश्मन,6
never ask the barber if you need a haircut,नाई से मत पूछो सिर मुंडवाना है या नहीं,5
never change a running system,जो चल रहा है उसे छेड़ो मत,6
never give advice unless asked,बिन मांगे राय मत दो,8
never judge a book by its cover,"दिखावे पर मत जाओ, अपनी अक़्ल लगाओ",7
never look a gift horse in the mouth,मुफ़्त की चीज़ में ऐब नहीं देखते,9
never put off until tomorrow what you can do today,आज का काम कल पर मत टालो,10
never say die,हिम्मत मत हारो,6
never say never,कभी नहीं मत कहो,5
never speak ill of the dead,मरे हुए की बुराई नहीं करते,7
never too old to learn,सीखने की कोई उम्र नहीं होती,9
new brooms sweep clean,नया झाड़ू ज़्यादा साफ़ करता है,7
"no bucks, no buck rogers",बिना पूँजी के व्यापार नहीं चलता,5
no gain without pain,मेहनत के बिना फल नहीं मिलता,8
"no guts, no glory",जोखिम उठाए बिना जीत नहीं मिलती,7
no man can serve two masters,दो नावों की सवारी नहीं हो सकती,9
no man is an island,इंसान समाज के बिना अधूरा है,5
"no matter how much milk you put in coffee, it's still coffee","काला काला ही रहता है, चाहे जितना धो लो",4
"no matter how much milk you put in tea, it's still tea","काला काला ही रहता है, चाहे जितना धो लो",4
"no matter how thin you slice it, it's still baloney",साँप के केंचुली बदलने से उसकी फितरत नहीं बदलती,7
"no matter how thin you slice it, it's still boloney",साँप के केंचुली बदलने से उसकी फितरत नहीं बदलती,7
"no matter how you slice it, it's still the same old baloney",रंग–रोगन बदलने से चीज़ नहीं बदलती,6
"no mill, no meal",जैसी करनी वैसी भरनी,5
no news is good news,कोई ख़बर नहीं तो अच्छी ख़बर है,9
no one can make you feel inferior without your consent,ख़ुद को कमज़ोर समझोगे तो दुनिया तुम्हें कुचल देगी,6
no one is born a master,कोई भी पेट से सीखकर नहीं आता,8
no one should be judge in his own case,अपने ही मामले में कोई ख़ुद जज नहीं बनता,7
no one should be judge in his own cause,अपने ही मामले में कोई ख़ुद जज नहीं बनता,7
"no pain, no gain",मेहनत के बिना फल नहीं मिलता,10
no peace for the weary,थके माँदे को भी चैन नहीं,5
no rest for the weary,थके माँदे को भी आराम नहीं मिलता,5
no rest for the wicked,पापी को चैन कहाँ,8
no rose without a thorn,हर गुलाब के साथ काँटा भी होता है,9
no sleep for the wicked,पापी को नींद कहाँ आती है,7
no smoke without fire,बिना आग के धुआँ नहीं उठता,10
no time like the present,आज का काम आज ही करो,10
not all heroes wear capes,हर हीरो के पास तलवार या ताज नहीं होता,6
not all those who wander are lost,हर भटकने वाला गुमराह नहीं होता,7
nothing gold can stay,सुख चिरकाल नहीं रहता,6
nothing is certain but death and taxes,मौत और कर से कोई नहीं बचता,7
nothing is said that has not been said before,जो कहना था सब पहले ही कहा जा चुका है,4
nothing new under the sun,सूरज के नीचे कुछ भी नया नहीं,6
nothing succeeds like success,सफलता की सबसे बड़ी सिफ़ारिश खुद सफलता है,7
"nothing ventured, nothing gained",जोखिम उठाए बिना कुछ नहीं मिलता,9
oil and water do not mix,तेल और पानी कभी नहीं मिलते,9
oil and water don't mix,तेल और पानी कभी नहीं मिलते,9
old habits die hard,पुरानी आदतें आसानी से नहीं जातीं,10
old sins cast long shadows,पुराने पापों की परछाईं दूर तक जाती है,6
old sins have long shadows,जैसी करनी वैसी भरनी,9
"once a man, twice a boy",बूढ़ा बच्चा हो जाता है,6
"once a man, twice a child",बूढ़ा बच्चा हो जाता है,7
"once a thief, always a thief",चोर की दाढ़ी में तिनका,6
once an adult and twice a child,बूढ़ा बच्चा हो जाता है,7
"once an adult, twice a child",बूढ़ा बच्चा हो जाता है,7
"once bitten, twice shy",दूध का जला छाछ भी फूँक-फूँक कर पीता है,10
"once burned, twice cautious",दूध का जला छाछ भी फूँक-फूँक कर पीता है,10
"once burned, twice shy",दूध का जला छाछ भी फूँक-फूँक कर पीता है,10
"once hurt, twice shy",दूध का जला छाछ भी फूँक-फूँक कर पीता है,10
"once on shore, we pray no more",डूबते को तिनके का सहारा,3
one bad apple can spoil the barrel,एक मछली सारे तालाब को गंदा कर देती है,10
one bad apple can spoil the whole bunch,एक मछली सारे तालाब को गंदा कर देती है,10
one bad turn deserves another,जैसा करोगे वैसा भरोगे,9
one can run but one can't hide,भागते भूत की लंगोटी सही,2
one can't break a stick in a bundle,एकता में बल है,9
one can't break a twig in a bundle,एकता में बल है,9
one can't break sticks in a bundle,एकता में बल है,9
one can't carry two watermelons under one arm,दो नावों की सवारी नहीं की जाती,9
one can't hold two watermelons in one hand,दो नावों की सवारी नहीं की जाती,9
one cannot break a stick in a bundle,एकता में बल है,9
one cannot break a twig in a bundle,एकता में बल है,9
one good turn deserves another,नेकी कर नेकी पा,8
one half of the world does not know how the other half lives,जिस पर बीतती है वही जानता है,7
one hand can't hold two watermelons,दो नावों की सवारी नहीं की जाती,9
one hand washes the other,एक हाथ से ताली नहीं बजती,6
one law for the rich and another for the poor,"अमीर के लिए और, गरीब के लिए और कानून",3
one man's fish is another man's poison,जिसकी जैसी रुचि वैसा उसका सुख,6
one man's fish is another man's poisson,जिसकी जैसी रुचि वैसा उसका सुख,5
one man's loss is another man's gain,किसी का लाभ किसी का हानि,4
one man's meat is another man's poison,जिसकी जैसी रुचि वैसा उसका सुख,7
one man's terrorist is another man's freedom fighter,जिसकी लाठी उसकी भैंस,6
one man's trash is another man's treasure,किसी का कूड़ा किसी का ख़ज़ाना,7
one may as well hang for a sheep as a lamb,जितनी सज़ा बड़ी चोरी की उतनी ही छोटी की,6
one might as well be hanged for a sheep as a lamb,जितनी सज़ा बड़ी चोरी की उतनी ही छोटी की,6
one might as well throw water into the sea as to do a kindness to rogues,"नेकी कर दरिया में मत डाल, बदमाश पर मत डाल",5
one nail drives out another,लोहे को लोहा काटता है,7
"one night with venus, a lifetime with mercury","थोड़ी सी मौज, उम्र भर की सज़ा",5
one swallow does not a spring make,एक फूल से बसंत नहीं आता,10
one swallow does not a summer make,एक फूल से बसंत नहीं आता,10
one swallow does not make a spring,एक फूल से बसंत नहीं आता,10
one swallow does not make a summer,एक फूल से बसंत नहीं आता,10
one swallow doesn't a spring make,एक फूल से बसंत नहीं आता,10
one swallow doesn't a summer make,एक फूल से बसंत नहीं आता,10
one swallow doesn't make a spring,एक फूल से बसंत नहीं आता,10
one swallow doesn't make a summer,एक फूल से बसंत नहीं आता,10
"one who believes in sword, dies by the sword",जो जैसा बोएगा वैसा ही काटेगा,9
one who hesitates is lost,जो हिचकिचाया वो पिछड़ गया,7
"one who speaks only one language is one person, but one who speaks two languages is two people",जितनी ज़बानें उतने इंसान,6
one woman's trash is another woman's treasure,किसी का कूड़ा किसी का ख़ज़ाना,7
one year's seeding makes seven years weeding,एक साल की लापरवाही सात साल की सज़ा,5
one's time is one's own,अपना समय अपना धन,4
only dead fish go with the flow,धारा के साथ तो मछली मरी हुई भी बहती है,8
only the good die young,अच्छों की उम्र छोटी होती है,6
only time will tell,वक़्त ही बताएगा,10
open confession is good for the soul,सच बोलो मन हल्का होगा,7
opinions are like assholes,राय तो हर किसी की होती है,5
opportunity does not knock until you build a door,मौका उसी को मिलता है जो तैयारी करता है,7
opportunity knocks at every man's door,हर किसी के दरवाज़े पर मौका दस्तक देता है,7
opportunity makes a thief,मौका चोर बनाता है,9
opportunity makes the thief,मौका चोर बनाता है,9
opportunity never knocks twice at any man's door,मौका बार‑बार दस्तक नहीं देता,8
opportunity seldom knocks twice,मौका बार‑बार दस्तक नहीं देता,8
opposites attract,विपरीत गुण एक‑दूसरे को खींचते हैं,6
"other days, other ways",जैसा समय वैसा व्यवहार,6
other times other manners,जैसा समय वैसा व्यवहार,6
out of sight is out of mind,"नज़र से दूर, दिल से दूर",10
"out of sight, out of mind","नज़र से दूर, दिल से दूर",10
out of the frying pan and into the fire,"आसमान से गिरा, खजूर में अटका",10
out of the mouths of babes,सच्चाई बच्चे और पागल के मुँह से निकलती है,7
out of the mouths of babes and sucklings,सच्चाई बच्चे और पागल के मुँह से निकलती है,7
"outta sight, outta mind","नज़र से दूर, दिल से दूर",10
patience is a virtue,सब्र का फल मीठा होता है,10
pearls of wisdom,हीरे जैसी बातें,6
penny wise and pound foolish,ऊँट के मुँह में जीरा,4
"penny, penny. makes many",बूँद बूँद से सागर भरता है,10
people that live in glass houses should not throw stones,"जिसके घर शीशे के हों, वो दूसरों पर पत्थर नहीं फेंकते",9
people that live in glass houses shouldn't throw stones,"जिसके घर शीशे के हों, वो दूसरों पर पत्थर नहीं फेंकते",9
"people who have, get","अमीर और अमीर, गरीब और गरीब",7
"people who have, get more","अमीर और अमीर, गरीब और गरीब",8
