en,es,confidence
gods may do what cattle may not,Lo que es bueno para el amo no es bueno para el criado,5
gold is where you find it,"donde menos se piensa, salta la liebre",7
good fences make good neighbors,las cuentas claras conservan la amistad,9
good fences make good neighbours,las cuentas claras conservan la amistad,9
good things come in small packages,el buen perfume viene en frasco pequeño,10
good things come to those who wait,"a quien espera, todo le llega",8
good wine needs no bush,buen paño en el arca se vende,10
"good work ain't cheap, cheap work ain't good",lo barato sale caro,10
"grasp all, lose all","quien mucho abarca, poco aprieta",10
great haste makes great waste,vísteme despacio que tengo prisa,9
great minds think alike,las grandes mentes piensan igual,4
great oaks from little acorns grow,de pequeñitas bellotas nacen grandes encinas,3
"hair today, gone tomorrow","lo que hoy está, mañana no está",2
half a loaf is better than no bread,más vale poco que nada,9
half a loaf is better than no loaf,más vale poco que nada,9
half a loaf is better than none,más vale poco que nada,9
handsome is as handsome does,la belleza está en el interior,6
handsome is that handsome does,la belleza está en el interior,6
"happy wife, happy life","mujer contenta, vida feliz",5
hard work never did anyone any harm,el trabajo duro no mata a nadie,5
haste makes waste,la prisa es mala consejera,10
he laughs best that laughs last,el que ríe último ríe mejor,10
"he that goes a-borrowing, goes a-sorrowing","quien compra lo que no puede, vende lo que no quiere",7
"he that mischief hatches, mischief catches","quien mal anda, mal acaba",9
he who digs a pit for others falls in himself,"quien cava una fosa para otro, en ella cae",9
"he who fails to prepare, prepares to fail","el que no prepara, repara",4
he who hesitates is lost,"el que duda, pierde",6
he who knows does not speak. he who speaks does not know,"el que sabe, calla",6
he who laughs last laughs best,el que ríe último ríe mejor,10
he who laughs last laughs hardest,el que ríe último ríe mejor,10
he who laughs last laughs longest,el que ríe último ríe mejor,10
"he who lives by the sword, dies by the sword","quien a hierro mata, a hierro muere",10
he who loves the world as his body may be entrusted with the empire,"Quien bien ama, bien gobierna",5
he who pays the piper calls the tune,"Quien paga, manda",10
he who said the rhyme did the crime,"El que la hace, la paga",6
he who sups with the devil should have a long spoon,"Quien con lobos anda, a aullar se enseña",7
health is wealth,La salud es riqueza,8
health is your first wealth,La salud es lo primero,9
heaven helps those that help themselves,A Dios rogando y con el mazo dando,10
heaven helps those who help themselves,A Dios rogando y con el mazo dando,10
hell has no fury like a woman scorned,No hay peor furia que la de una mujer despreciada,7
hell hath no fury like a woman scorned,No hay peor furia que la de una mujer despreciada,7
"hell hath no fury like a woman scorned; heav'n has no rage, like love to hatred turn'd, nor hell a fury, like a woman scorn'd",No hay peor furia que la de una mujer despreciada,6
"hell is full of good meanings, but heaven is full of good works",El infierno está lleno de buenas intenciones y el cielo de buenas obras,9
"hic rhodus, hic salta",Obras son amores y no buenas razones,6
hindsight is 20/20,"A toro pasado, todos somos listos",9
hindsight is always twenty-twenty,"A toro pasado, todos somos listos",9
history is written by the victors,La historia la escriben los vencedores,10
history repeats itself,La historia se repite,9
home is where the heart is,Hogar es donde está el corazón,8
home is where you hang your hat,"Donde fueres, haz como vieres",4
honesty is the best policy,Antes se coge al mentiroso que al cojo,6
honey catches more flies than vinegar,Más moscas se cazan con miel que con vinagre,10
"hope for the best, and prepare for the worst",Espera lo mejor y prepárate para lo peor,8
"hope for the best, prepare for the worst",Espera lo mejor y prepárate para lo peor,8
hope springs eternal,La esperanza es lo último que se pierde,10
hope springs eternal in the human breast,La esperanza es lo último que se pierde,10
horses for courses,Cada maestrillo tiene su librillo,6
how you get them is how you lose them,"Lo que fácil viene, fácil se va",8
hunger is a good sauce,A buen hambre no hay mal pan,10
hunger is the best pickle,A buen hambre no hay mal pan,9
hunger is the best sauce,A buen hambre no hay mal pan,10
hunger is the best seasoning,A buen hambre no hay mal pan,9
hunger is the best spice,A buen hambre no hay mal pan,9
hurt people hurt people,"Quien mal anda, mal acaba",4
i want doesn't get,"El que mucho quiere, poco alcanza",6
i'm going to have to give you the pink slip,Te voy a poner de patitas en la calle,7
idle hands are the devil's playthings,La ociosidad es la madre de todos los vicios,10
idle hands are the devil's tools,La ociosidad es la madre de todos los vicios,10
idle hands are the devil's workshop,La ociosidad es la madre de todos los vicios,10
idle hands make work for the devil,La ociosidad es la madre de todos los vicios,10
"if a job is worth doing, it is worth doing well","Lo que vale la pena hacer, vale la pena hacerlo bien",9
"if all you have is a hammer, everything looks like a nail",Según el cristal con que se mira,6
"if all you've got is a hammer, everything looks like a nail",Según el cristal con que se mira,6
"if anything can go wrong, it will","Si algo puede salir mal, saldrá mal",9
"if at first you do not succeed, try, try again","El que la sigue, la consigue",9
if at first you don't succeed,"El que la sigue, la consigue",8
"if at first you don't succeed, try try again","El que la sigue, la consigue",9
"if god had meant us to fly, he would have given us wings","Al que nace para maceta, del corredor no pasa",7
"if ifs and ands were pots and pans, there would be no work for tinkers",Con el si se va al infierno,7
"if ifs and buts were candies and nuts, we'd all have a merry christmas",Con el si se va al infierno,7
"if ifs and buts were candy and nuts, we'd all have a merry christmas",Con el si se va al infierno,7
"if it ain't broke, don't fix it","Si algo funciona, no lo cambies",8
"if it ain't busted, don't fix it","Si algo funciona, no lo cambies",8
if it looks like a duck,"Cuando el río suena, agua lleva",6
"if it looks like a duck, swims like a duck, and quacks like a duck, then it probably is a duck","Cuando el río suena, agua lleva",9
"if it looks like a duck, swims like a duck, and quacks like a duck, then it's probably a duck","Cuando el río suena, agua lleva",9
"if it were a snake, it would have bit you",Lo tienes delante de las narices,5
if it were not for hope the heart would break,La esperanza es lo último que se pierde,10
if pigs had wings they would fly,Y si mi abuela tuviera ruedas sería una bicicleta,9
"if the mountain will not come to mohammed, then mohammed must go to the mountain","Si la montaña no va a Mahoma, Mahoma va a la montaña",10
if the mountain won't come to mohammed,"Si la montaña no va a Mahoma, Mahoma va a la montaña",10
if the mountain won't come to muhammad,"Si la montaña no va a Mahoma, Mahoma va a la montaña",10
"if the mountain won't come to muhammad, then muhammad must go to the mountain","Si la montaña no va a Mahoma, Mahoma va a la montaña",10
"if the shoe fits, wear it","Al que le caiga el saco, que se lo ponga",10
"if we had ham we could have ham and eggs, if we had eggs",Con el si se va al infierno,7
"if we had some ham we could have some ham and eggs, if we had some eggs",Con el si se va al infierno,7
"if wealth is lost, nothing is lost. if health is lost, something is lost. if character is lost, everything is lost",La salud y la honra no tienen precio,7
"if wishes were horses, beggars might ride",del dicho al hecho hay un gran trecho,7
"if wishes were horses, beggars would ride",del dicho al hecho hay un gran trecho,7
"if you aim at nothing, you'll hit it every time","quien no sabe a dónde va, cualquier camino le sirve",9
"if you believe everything you read, better not to read",no todo lo que brilla es oro,6
"if you build it, they will come","a río revuelto, ganancia de pescadores",3
"if you can't be good, be careful","el que juega con fuego, se quema",5
"if you can't beat them, join them","si no puedes con tu enemigo, únete a él",10
"if you can't do the time, don't do the crime","el que la hace, la paga",9
"if you can't lick them, join them","si no puedes con tu enemigo, únete a él",10
"if you can't stand the heat, get out of the kitchen","si no aguantas el calor, sal de la cocina",6
"if you find yourself in a hole, the first thing to do is stop digging",rectificar es de sabios,6
"if you fly with the crows, you get shot with the crows","el que con lobos anda, a aullar se enseña",9
"if you give a mouse a cookie, he'll always ask for a glass of milk",le das la mano y te toma el brazo,10
"if you lie down with dogs, you get up with fleas","el que con lobos anda, a aullar se enseña",9
"if you lie down with dogs, you will get up with fleas","el que con lobos anda, a aullar se enseña",9
if you lie with dogs you will get fleas,"el que con lobos anda, a aullar se enseña",9
"if you mess with the bull, you get the horns","quien juega con fuego, se quema",8
"if you must dance with the devil, you might as well know his favorite song","si vas a Roma, haz como los romanos",7
"if you pay bananas, you get monkeys","quien paga mal, mal servicio recibe",5
"if you pay peanuts, you get monkeys",lo barato sale caro,9
"if you play with fire, you will get burned","quien juega con fuego, se quema",10
"if you think that you know everything, then you're a jack ass",solo sé que no sé nada,6
"if you want a thing done well, do it yourself","si quieres que algo salga bien, hazlo tú mismo",8
"if you want peace, prepare for war","si vis pacem, para bellum",9
"if you've got it, flaunt it",alardea quien puede,3
ignorance is bliss,"ojos que no ven, corazón que no siente",9
ill doers are ill deemers,el ladrón cree que todos son de su condición,10
ill news spreads apace,las malas noticias vuelan,9
ill-gotten gains never prosper,dinero mal habido nunca prospera,9
imitation is the sincerest form of flattery,la imitación es la forma más sincera de admiración,6
"in for a dime, in for a dollar","quien entra en el juego, acepta las reglas",6
"in for a penny, in for a pound","de perdidos, al río",10
"in for an inch, in for a mile","de perdidos, al río",9
"in like a lion, out like a lamb","Marzo, marceador, un día malo y otro peor",4
"in the country of the blind, the one-eyed man is king","En tierra de ciegos, el tuerto es rey",10
"in the kingdom of the blind, the one eyed man is king","En tierra de ciegos, el tuerto es rey",10
"in the land of the blind, the one-eyed man is king","En tierra de ciegos, el tuerto es rey",10
"in the midst of life, we are in death",De la vida nadie sale vivo,6
"in the valley of the blind, the one-eyed man is king","En tierra de ciegos, el tuerto es rey",10
"in unity, there is strength",La unión hace la fuerza,10
in vino veritas,Los niños y los borrachos siempre dicen la verdad,9
"in wine, there is truth",Los niños y los borrachos siempre dicen la verdad,9
into every life a little rain must fall,No hay mal que por bien no venga,5
it ain't over 'til the fat lady sings,"Hasta el rabo, todo es toro",9
it ain't over till it's over,"Hasta el rabo, todo es toro",9
it ain't over till the fat lady sings,"Hasta el rabo, todo es toro",9
it ain't over till/until it's over,"Hasta el rabo, todo es toro",9
it ain't over until the fat lady sings,"Hasta el rabo, todo es toro",9
it ain't the whistle that pulls the train,"No es la flecha, es el indio",7
it ain't what you don't know that gets you into trouble. it's what you know for sure that just ain't so,No hay peor ciego que el que no quiere ver,6
it doesn't matter what they say about you as long as they spell your name right,"Que hablen, aunque sea bien",6
it goes without saying,Está de más decirlo,8
it is a small world,El mundo es un pañuelo,10
it is all grist to the mill,Todo suma,5
it is always darkest before the dawn,No hay mal que cien años dure,5
it is always darkest just before the dawn,No hay mal que cien años dure,5
it is an ill wind,No hay mal que por bien no venga,8
it is best to be on the safe side,Más vale prevenir que curar,10
it is better to be smarter than you appear than to appear smarter than you are,Más vale parecer tonto y callar que abrir la boca y despejar la duda,7
it is better to give than to receive,Es mejor dar que recibir,9
it is better to have loved and lost than never to have loved at all,Más vale haber amado y perdido que no haber amado nunca,7
it is better to light a candle than curse the darkness,Es mejor encender una vela que maldecir la oscuridad,8
it is darkest before the dawn,No hay mal que cien años dure,5
it is darkest just before the dawn,No hay mal que cien años dure,5
it is easier for a camel to go through the eye of a needle than for a rich man to enter into the kingdom of god,Más fácil es que un camello pase por el ojo de una aguja que un rico entre en el reino de los cielos,10
it is easy to be wise after the event,"A toro pasado, todos somos Manolete",7
it is easy to find a stick to beat a dog,Al perro flaco todo se le vuelven pulgas,6
it is never too late,nunca es tarde si la dicha es buena,10
it is no use crying over spilt milk,"a lo hecho, pecho",10
it is no use locking the stable door after the horse has bolted,"a buenas horas, mangas verdes",10
it is not the whistle that pulls the train,obras son amores y no buenas razones,5
it is the early bird that gets the worm,"al que madruga, Dios le ayuda",10
it is the empty can that makes the most noise,perro que ladra no muerde,7
it is the last straw that breaks the camel's back,tanto va el cántaro a la fuente que al final se rompe,8
it is the squeaky wheel that gets the grease,"el que no llora, no mama",10
it is what it is,es lo que hay,10
it isn't over 'til the fat lady sings,"hasta el rabo, todo es toro",10
it isn't over till the fat lady sings,"hasta el rabo, todo es toro",10
it isn't over until the fat lady sings,"hasta el rabo, todo es toro",10
it isn't the whistle that pulls the train,obras son amores y no buenas razones,5
it needs a hundred lies to cover a single lie,se coge antes a un mentiroso que a un cojo,6
it never rains but it pours,las desgracias nunca vienen solas,10
it never rains but that it pours,las desgracias nunca vienen solas,10
it takes a heap o' livin' to make a house a home,"hogar, dulce hogar",4
it takes a heap of living to make a house a home,"hogar, dulce hogar",4
it takes a lot of living to make a house a home,"hogar, dulce hogar",4
it takes a thief to catch a thief,ladrón que roba a ladrón tiene cien años de perdón,6
it takes a village to raise a child,para educar a un niño hace falta la tribu entera,7
it takes a whole village to raise a child,para educar a un niño hace falta la tribu entera,7
it takes all kinds,de todo hay en la viña del Señor,10
it takes all kinds to make a world,de todo hay en la viña del Señor,10
it takes all sorts,de todo hay en la viña del Señor,10
it takes all sorts to make a world,de todo hay en la viña del Señor,10
it takes one to know one,cree el ladrón que todos son de su condición,10
it takes two to make a quarrel,"cuando uno no quiere, dos no se pelean",10
it takes two to quarrel,"cuando uno no quiere, dos no se pelean",10
it takes two to tango,dos no se pelean si uno no quiere,10
it will be the same a hundred years hence,"al fin y al cabo, todo da igual",3
it will come back and haunt you,"el que la hace, la paga",8
it's a long road that has no turning,no hay mal que cien años dure,7
it's a man's world,este es un mundo de hombres,6
"it's a tough job, but someone's got to do it",Alguien tiene que hacer el trabajo sucio,8
it's all fun and games until someone loses an eye,El juego se acaba cuando alguien sale lastimado,6
it's an ill bird that fouls its own nest,No escupas para arriba que te puede caer,7
it's an ill wind that blows no good,No hay mal que por bien no venga,10
it's an ill wind that blows no one any good,No hay mal que por bien no venga,10
it's an ill wind that blows nobody any good,No hay mal que por bien no venga,10
it's an ill wind that blows nobody good,No hay mal que por bien no venga,10
it's better to ask forgiveness than permission,Más vale pedir perdón que pedir permiso,10
it's easier to ask forgiveness than to get permission,Más vale pedir perdón que pedir permiso,10
it's greek to me,Me suena a chino,10
it's lonely at the top,La cima es solitaria,6
it's never too late to mend,Nunca es tarde si la dicha es buena,9
it's not over 'til the fat lady sings,"Hasta el rabo, todo es toro",10
it's not over till the fat lady sings,"Hasta el rabo, todo es toro",10
it's not over until the fat lady sings,"Hasta el rabo, todo es toro",10
it's not what you know but who you know,El que tiene padrino se bautiza,9
it's not what you know but whom you know,El que tiene padrino se bautiza,9
it's not what you say but how you say it,"No es lo que dices, sino cómo lo dices",7
it's the hit dog that howls,El que se pica es porque ají come,8
it's the little things,En los pequeños detalles está la diferencia,6
it's the thought that counts,Lo que cuenta es la intención,10
"jack of all trades, master of none/one/some","El que mucho abarca, poco aprieta",10
joan's as good as my lady in the dark,De noche todos los gatos son pardos,10
"judge not, lest ye be judged",No juzgues y no serás juzgado,8
"judge not, that ye be not judged",No juzgues y no serás juzgado,8
"judge not, that you be not judged",No juzgues y no serás juzgado,8
justice delayed is justice denied,Justicia tardía no es justicia,9
justice is blind,La justicia es ciega,9
karma is a bitch,"El que la hace, la paga",9
karma's a bitch,"El que la hace, la paga",9
keep your chin up,"Ánimo, que no hay mal que dure cien años",7
keep your friends close and your enemies closer,Ten cerca a tus amigos y más cerca a tus enemigos,8
"keep your friends close, and your enemies closer",Ten cerca a tus amigos y más cerca a tus enemigos,8
keep your powder dry,Más vale prevenir que curar,6
kids will be kids,Cosas de niños,7
kill the chicken to scare the monkey,Muerto el perro se acabó la rabia,5
kill the goose that lays the golden egg,Matar la gallina de los huevos de oro,10
kill two birds with one stone,Matar dos pájaros de un tiro,10
kindness in words creates confidence. kindness in thinking creates profoundness. kindness in giving creates love,Obras son amores y no buenas razones,4
kissing goes by favor,El que tiene padrinos se bautiza,7
knock on (or touch) wood,Tocar madera,10
know thyself,Conócete a ti mismo,10
know which side (one's) bread is buttered,Saber de qué lado se unta la mantequilla,6
knowledge is power,El saber es poder,10
"knowledge is power, guard it well",El saber es poder,7
laugh and grow fat,"Al mal tiempo, buena cara",4
"laugh and the world laughs with you, weep and you weep alone","La alegría es contagiosa, la tristeza no",3
"laugh before breakfast, cry before supper",El que ríe último ríe mejor,3
laughter is the best medicine,La risa es la mejor medicina,10
"learn a language, and you will avoid a war",Hablando se entiende la gente,6
"least said, soonest mended",En boca cerrada no entran moscas,7
leave with the one that brought ya,Baila con la que te trajo,8
leave with the one that brung ya,Baila con la que te trajo,8
leave with the one that brung you,Baila con la que te trajo,8
leave with the one what brought ya,Baila con la que te trajo,8
leave with the one what brought you,Baila con la que te trajo,8
leave with the one what brung ya,Baila con la que te trajo,8
leave with the one what brung you,Baila con la que te trajo,8
leave with the one who brought ya,Baila con la que te trajo,8
leave with the one who brought you,Baila con la que te trajo,8
leave with the one who brung ya,Baila con la que te trajo,8
leave with the one who brung you,Baila con la que te trajo,8
less is more,Menos es más,10
let bygones be bygones,Borrón y cuenta nueva,10
let george do it,Que lo haga otro,4
let not the sun go down on your wrath,No te acuestes enojado,6
let sleeping dogs lie,No despertar al perro que duerme,9
let the buyer beware,"El que compra, que mire lo que compra",6
let the cat out of the bag,Descubrir el pastel,8
let the cobbler stick to his last,Zapatero a tus zapatos,10
let the dead bury the dead,"A lo hecho, pecho",6
let the punishment fit the crime,"El que la hace, la paga",9
let well alone,Más vale no menearlo,8
let your hair down,Soltarse la melena,10
life begins at forty,La vida empieza a los cuarenta,9
life is like a box of chocolates,La vida da muchas vueltas,6
life is not all beer and skittles,No todo el monte es orégano,9
life is too short not to do something that matters,La vida es corta y hay que aprovecharla,7
life is what you make it,Cada uno se labra su propio destino,8
life's a bitch and then you die,La vida es dura y luego te mueres,8
"life's a bitch, and then you die",La vida es dura y luego te mueres,8
lightning does not strike twice in the same place,Una vez al año no hace daño,5
lightning doesn't strike twice in the same place,Una vez al año no hace daño,5
lightning never strikes the same place twice,Una vez al año no hace daño,5
lightning never strikes twice,Una vez al año no hace daño,5
lightning never strikes twice in the same place,Una vez al año no hace daño,5
like father like son,"De tal palo, tal astilla",10
"like father, like son","De tal palo, tal astilla",10
"like mother, like daughter","De tal palo, tal astilla",9
little pitchers have big ears,Las paredes oyen,7
little pitchers have long ears,Las paredes oyen,7
little strokes fell great oaks,Grano a grano se hace granero,9
little things please little minds,A cada loco con su tema,5
live and let live,Vive y deja vivir,10
"live by the sword, die by the sword","Quien a hierro mata, a hierro muere",10
live each day as if it were your last and one day you will surely be right,Vive cada día como si fuera el último,8
"live fast, die young","Vive deprisa, muere joven",8
"live for today, for tomorrow never comes",Carpe diem,7
"live not to eat, but eat to live",Comer para vivir y no vivir para comer,10
live to fight another day,Soldado que huye sirve para otra guerra,10
"location, location, location","Situación, situación, situación",4
"long absent, soon forgotten","Ojos que no ven, corazón que no siente",8
look before you leap,"Antes de dar un paso, mira dónde pisas",8
lookers-on see most of the game,Los toros se ven mejor desde la barrera,10
looks can be deceiving,Las apariencias engañan,10
loose lips sink ships,En boca cerrada no entran moscas,10
loss and gain are brothers twain,Unas veces se gana y otras se pierde,8
love cannot be forced,El amor no se puede forzar,6
love conquers all,El amor todo lo puede,9
love is blind,El amor es ciego,10
love is love,Amor es amor,7
love makes the world go around,El amor mueve el mundo,8
love of money is the root of all evil,La codicia es la raíz de todos los males,9
love the sinner but hate the sin,Ama al pecador y odia el pecado,7
"love the sinner, hate the sin",Ama al pecador y odia el pecado,7
love will find a way,El amor siempre se abre camino,7
"lucky at cards, unlucky in love","Afortunado en el juego, desafortunado en amores",10
make hay while the sun shines,"A quien madruga, Dios le ayuda",8
make it do or do without,"El que no se contenta con poco, no se contenta con nada",5
make lemonade,"Al mal tiempo, buena cara",8
make love not war,Haz el amor y no la guerra,10
man does not live by bread alone,No solo de pan vive el hombre,10
man is a wolf to man,El hombre es un lobo para el hombre,10
man plans and god laughs,El hombre propone y Dios dispone,9
"man proposes, god disposes",El hombre propone y Dios dispone,10
"man proposes, heaven disposes",El hombre propone y Dios dispone,9
man shall not live by bread alone,No solo de pan vive el hombre,10
"man thinks, god laughs",El hombre propone y Dios dispone,8
manners maketh man,El hábito no hace al monje,5
many a little makes a mickle,Grano a grano se hace granero,10
many a mickle makes a muckle,Grano a grano se hace granero,10
many a true word is spoken in jest,"Entre bromas y veras, la verdad se asoma",9
many hands make light work,La unión hace la fuerza,9
march comes in like a lion and goes out like a lamb,"Marzo, marceador, un día malo y otro peor",5
marriages are made in heaven,Las parejas las hace el cielo,6
"marry in haste, repent at leisure","Matrimonio apresurado, arrepentimiento asegurado",7
measure twice and cut once,Vísteme despacio que tengo prisa,8
"measure twice, cut once",Vísteme despacio que tengo prisa,8
memory is the treasure of the mind,La memoria es el tesoro del alma,6
men are blind in their own cause,Nadie ve sus propios defectos,7
mess with the bull and you get the horns,Quien juega con fuego se quema,9
"mess with the bull, get the horns",Quien juega con fuego se quema,9
might is right,La razón del más fuerte es siempre la mejor,7
might makes right,La razón del más fuerte es siempre la mejor,8
mighty oaks from little acorns grow,De una bellota sale una encina,9
misery enjoys company,Las desgracias nunca vienen solas,6
misery loves company,"Mal de muchos, consuelo de tontos",10
misfortunes never come alone,Las desgracias nunca vienen solas,10
misfortunes never come singly,Las desgracias nunca vienen solas,10
mocking is catching,Quien escupe al cielo en la cara le cae,6
moderation in all things,Nada en exceso,9
money can't buy happiness,El dinero no da la felicidad,10
money cannot buy happiness,El dinero no da la felicidad,10
"money demands care, you abuse it and it disappears",El dinero va y viene,5
money does not grow on trees,El dinero no cae del cielo,9
money does not smell,El dinero no huele,10
money does not stink,El dinero no huele,10
money doesn't grow on trees,El dinero no cae del cielo,9
"money earned by deceit, goes by deceit","Dinero mal habido, pronto se ha ido",10
money has no smell,El dinero no huele,10
money is not everything,No solo de pan vive el hombre,8
money is the root of all evil,El dinero es la raíz de todos los males,9
"money makes many things, but also makes devil dance",Poderoso caballero es don Dinero,7
money makes the world go around,Poderoso caballero es don Dinero,9
money talks,Poderoso caballero es don Dinero,9
money talks and bullshit walks,Con dinero baila el perro,9
"money talks, bullshit walks",Con dinero baila el perro,9
"more haste, less speed",Vísteme despacio que tengo prisa,10
"move your feet, lose your seat",Camarón que se duerme se lo lleva la corriente,7
mud sticks,"Calumnia, que algo queda",9
murder will out,Antes se coge al mentiroso que al cojo,6
music has charms to soothe the savage beast,La música amansa a las fieras,10
my enemy's enemy is my friend,El enemigo de mi enemigo es mi amigo,9
ne'er cast a clout till may be out,Hasta el cuarenta de mayo no te quites el sayo,10
nearly never won the race,Casi no mata nada,6
necessity is the mother of innovation,La necesidad agudiza el ingenio,10
necessity is the mother of invention,La necesidad agudiza el ingenio,10
necessity knows no law,La necesidad no tiene ley,10
needs must,"A falta de pan, buenas son tortas",7
needs must when the devil drives,A la fuerza ahorcan,8
neither a borrower nor a lender be,Cuentas claras conservan la amistad,7
never ask the barber if you need a haircut,Al vendedor no le preguntes si algo te queda bien,3
never cast a clout until may be out,Hasta el cuarenta de mayo no te quites el sayo,10
never change a running system,"Si algo funciona, no lo cambies",6
never give advice unless asked,"Consejo no pedido, consejo mal recibido",9
never judge a book by its cover,Las apariencias engañan,10
never let the sun go down on your anger,No te acuestes enojado,6
never let the truth get in the way of a good story,No dejes que la realidad te arruine una buena historia,8
never look a gift horse in the mouth,A caballo regalado no le mires el diente,10
never put off until tomorrow what you can do today,No dejes para mañana lo que puedas hacer hoy,10
never say die,La esperanza es lo último que se pierde,8
never say never,Nunca digas de este agua no beberé,10
never speak ill of the dead,"De los muertos, lo bueno",9
never tell tales out of school,Los trapos sucios se lavan en casa,8
never too old to learn,Nunca es tarde para aprender,9
new brooms sweep clean,Escoba nueva barre bien,10
nice guys finish last,El que no llora no mama,7
"no bucks, no buck rogers",Sin dinero no hay paraíso,4
no gain without pain,"Quien algo quiere, algo le cuesta",10
no good deed ever goes unpunished,Haces el bien y no mires a quién,5
no good deed goes unpunished,Haces el bien y no mires a quién,5
"no guts, no glory","Quien no arriesga, no gana",10
no man can serve two masters,Nadie puede servir a dos señores,9
no man is an island,Nadie es una isla,7
"no matter how much milk you put in coffee, it's still coffee","Aunque la mona se vista de seda, mona se queda",8
"no matter how much milk you put in tea, it's still tea","Aunque la mona se vista de seda, mona se queda",8
"no matter how thin you slice it, it's still baloney","Aunque la mona se vista de seda, mona se queda",9
"no matter how thin you slice it, it's still boloney","Aunque la mona se vista de seda, mona se queda",9
"no matter how you slice it, it's still the same old baloney","Aunque la mona se vista de seda, mona se queda",9
"no mill, no meal",Sin harina no hay harina,6
no news is good news,"No hay noticias, buenas noticias",10
no one can make you feel inferior without your consent,"El que se siente menos, se hace menos",5
no one is born a master,Nadie nace sabiendo,10
no one should be judge in his own case,Nadie es buen juez en causa propia,10
no one should be judge in his own cause,Nadie es buen juez en causa propia,10
"no pain, no gain","Quien algo quiere, algo le cuesta",10
no peace for the weary,No hay descanso para el cansado,8
no rest for the weary,No hay descanso para el cansado,9
no rest for the wicked,No hay descanso para los malvados,7
no rose without a thorn,No hay rosa sin espinas,10
no sleep for the wicked,No hay descanso para los malvados,7
no smoke without fire,"Cuando el río suena, agua lleva",10
no time like the present,No dejes para mañana lo que puedas hacer hoy,10
not all heroes wear capes,No todos los héroes llevan capa,8
not all those who wander are lost,No todo el que vaga está perdido,6
nothing gold can stay,Nada es eterno,7
nothing is certain but death and taxes,Lo único seguro es la muerte,6
nothing is said that has not been said before,Nada nuevo se dice que no se haya dicho antes,5
nothing new under the sun,Nada nuevo hay bajo el sol,9
nothing succeeds like success,El éxito llama al éxito,7
"nothing ventured, nothing gained","Quien no arriesga, no gana",10
oil and water do not mix,El agua y el aceite no se mezclan,9
oil and water don't mix,El agua y el aceite no se mezclan,9
old habits die hard,La costumbre es más fuerte que la razón,8
old sins cast long shadows,Las malas acciones siempre pasan factura,6
old sins have long shadows,El que la hace la paga,8
"old soldiers never die, (they simply/just fade away)","Viejos soldados nunca mueren, solo se desvanecen",3
on the internet nobody knows you're a dog,En Internet nadie sabe quién eres,6
"on the internet, nobody knows you're a dog",En Internet nadie sabe quién eres,6
"once a man, twice a boy",El que fue a Sevilla perdió su silla,1
"once a man, twice a child",El que fue a Sevilla perdió su silla,1
"once a thief, always a thief",Ladrón que roba a ladrón tiene cien años de perdón,2
once an adult and twice a child,El que fue a Sevilla perdió su silla,1
"once an adult, twice a child",El que fue a Sevilla perdió su silla,1
"once bitten, twice shy",Gato escaldado del agua fría huye,10
"once burned, twice cautious",Gato escaldado del agua fría huye,9
"once burned, twice shy",Gato escaldado del agua fría huye,10
"once hurt, twice shy",Gato escaldado del agua fría huye,9
"once on shore, we pray no more","El peligro pasado, el santo olvidado",10
one bad apple can spoil the barrel,Una manzana podrida pudre a las demás,8
one bad apple can spoil the whole bunch,Una manzana podrida pudre a las demás,8
one bad turn deserves another,Quien siembra vientos recoge tempestades,8
one can run but one can't hide,La justicia tarda pero llega,4
one can't break a stick in a bundle,La unión hace la fuerza,10
one can't break a twig in a bundle,La unión hace la fuerza,10
one can't break sticks in a bundle,La unión hace la fuerza,10
one can't carry two watermelons under one arm,"El que mucho abarca, poco aprieta",9
one can't hold two watermelons in one hand,"El que mucho abarca, poco aprieta",9
one cannot break a stick in a bundle,La unión hace la fuerza,10
one cannot break a twig in a bundle,La unión hace la fuerza,10
one good turn deserves another,"Hoy por ti, mañana por mí",10
one hair of a woman can draw more than a hundred pair of oxen,Tiran más dos tetas que dos carretas,9
one half of the world does not know how the other half lives,Cada loco con su tema,3
one hand can't hold two watermelons,"El que mucho abarca, poco aprieta",9
one hand washes the other,Una mano lava la otra y las dos lavan la cara,10
one law for the rich and another for the poor,"La ley es como la serpiente, solo muerde a los descalzos",9
one man's fish is another man's poison,Sobre gustos no hay nada escrito,8
one man's fish is another man's poisson,Sobre gustos no hay nada escrito,8
one man's loss is another man's gain,"A río revuelto, ganancia de pescadores",10
one man's meat is another man's poison,Sobre gustos no hay nada escrito,10
one man's terrorist is another man's freedom fighter,todo es según el cristal con que se mira,7
one man's trash is another man's treasure,la basura de unos es el tesoro de otros,8
one may as well hang for a sheep as a lamb,de perdidos al río,9
one might as well be hanged for a sheep as a lamb,de perdidos al río,9
one might as well throw water into the sea as to do a kindness to rogues,echar margaritas a los cerdos,7
one nail drives out another,un clavo saca otro clavo,10
one should never meet one's heroes,nunca conozcas a tus ídolos,6
one swallow does not a spring make,una golondrina no hace verano,10
one swallow does not a summer make,una golondrina no hace verano,10
one swallow does not make a spring,una golondrina no hace verano,10
one swallow does not make a summer,una golondrina no hace verano,10
one swallow doesn't a spring make,una golondrina no hace verano,10
one swallow doesn't a summer make,una golondrina no hace verano,10
one swallow doesn't make a spring,una golondrina no hace verano,10
