en,ar,confidence
"grasp all, lose all",الطمع يقل ما جمع,10
great haste makes great waste,في العجلة الندامة وفي التأني السلامة,10
great minds think alike,العقول الراجحة تتلاقى,6
great oaks from little acorns grow,رحلة الألف ميل تبدأ بخطوة,8
"hair today, gone tomorrow",ما أسرع ما يزول النعيم,3
half a loaf is better than no bread,نصف الخبز ولا الجوع,10
half a loaf is better than no loaf,نصف الخبز ولا الجوع,10
half a loaf is better than none,نصف الخبز ولا الجوع,10
handsome is as handsome does,المرء بأفعاله لا بأقواله,7
handsome is that handsome does,المرء بأفعاله لا بأقواله,7
"happy wife, happy life",رضا الزوجة من رضا الله,4
hard work never did anyone any harm,من جد وجد,9
haste makes waste,في العجلة الندامة وفي التأني السلامة,10
haters gonna hate,رضا الناس غاية لا تدرك,7
he laughs best that laughs last,يضحك كثيرًا من يضحك أخيرًا,9
"he that goes a-borrowing, goes a-sorrowing",الاستدانة همّ بالليل وذلّ بالنهار,8
"he that mischief hatches, mischief catches",من حفر حفرة لأخيه وقع فيها,10
he who digs a pit for others falls in himself,من حفر حفرة لأخيه وقع فيها,10
"he who fails to prepare, prepares to fail",من لم يخطط للنجاح فقد خطط للفشل,8
he who hesitates is lost,الفرصة لا تأتي مرتين,7
he who knows does not speak. he who speaks does not know,من كثر كلامه كثر خطؤه,5
he who laughs last laughs best,يضحك كثيرًا من يضحك أخيرًا,9
he who laughs last laughs hardest,يضحك كثيرًا من يضحك أخيرًا,9
he who laughs last laughs longest,يضحك كثيرًا من يضحك أخيرًا,9
"he who lives by the sword, dies by the sword",من عاش بالسيف مات بالسيف,10
he who pays the piper calls the tune,من يدفع للزمار يطلب اللحن,9
he who sups with the devil should have a long spoon,من يرقص مع الشيطان يتحمل نار جهنم,6
health is wealth,الصحة تاج على رؤوس الأصحاء لا يراه إلا المرضى,10
health is your first wealth,الصحة أغلى من المال,9
heaven helps those that help themselves,اسعَ يا عبد وأنا أسعى معاك,9
heaven helps those who help themselves,اعقلها وتوكل,9
hell has no fury like a woman scorned,جحيم امرأة مغضوبة لا يطفئه ماء,3
"hell is full of good meanings, but heaven is full of good works",النيات الطيبة وحدها لا تكفي,6
"hic rhodus, hic salta",هنا تُعرف الرجال,7
hindsight is 20/20,يعرف الخطأ بعد وقوعه,7
hindsight is always twenty-twenty,العقل زينة بعد فوات الأوان,5
history is written by the victors,التاريخ يكتبه المنتصرون,9
history repeats itself,التاريخ يعيد نفسه,10
home is where the heart is,البيت بيتك حيث يرتاح قلبك,6
honesty is the best policy,الصدق منجاة,10
honey catches more flies than vinegar,باللين تُصاد القلوب لا بالشدة,7
"hope for the best, and prepare for the worst",تفاءل بالخير واستعد للشر,8
"hope for the best, prepare for the worst",اعمل للأسوأ وارجُ الأفضل,6
hope springs eternal,الأمل لا يموت,9
hope springs eternal in the human breast,ما دام في القلب نبض فالأمل حي,7
horses for courses,لكل مقام مقال,8
how you get them is how you lose them,من جاءه المال حرامًا ذهب حرامًا,7
hunger is a good sauce,الجوع أفضل طباخ,8
hunger is the best pickle,الجوع أطيب إدام,7
hunger is the best sauce,الجوع أطيب صلصة,6
hunger is the best seasoning,الجوع أحسن تتبيلة,5
hunger is the best spice,الجوع أحسن بهار,5
hunt where the ducks are,اضرب الحديد وهو حامٍ,6
hurt people hurt people,فاقد الشيء لا يعطيه,4
i want doesn't get,اللي يطلب ما ينول,6
idle hands are the devil's playthings,الشيطان يجد عملاً للأيادي العاطلة,9
idle hands are the devil's tools,الشيطان يجد عملاً للأيادي العاطلة,9
idle hands are the devil's workshop,الشيطان يجد عملاً للأيادي العاطلة,9
idle hands make work for the devil,الشيطان يجد عملاً للأيادي العاطلة,9
"if a job is worth doing, it is worth doing well",ما لا يتم الواجب إلا به فهو واجب,6
"if all you have is a hammer, everything looks like a nail",كلٌّ يرى الناس بعين طبعه,7
"if all you've got is a hammer, everything looks like a nail",كلٌّ يرى الناس بعين طبعه,7
"if anything can go wrong, it will",مصائب قوم عند قوم فوائد,2
"if at first you do not succeed, try, try again",من جد وجد ومن زرع حصد,8
if at first you don't succeed,من جد وجد ومن زرع حصد,7
"if at first you don't succeed, try try again",من جد وجد ومن زرع حصد,8
"if god had meant us to fly, he would have given us wings",كل شيء بوقته حلو,3
"if ifs and ands were pots and pans, there would be no work for tinkers",لو كان في لو خير ما قالوا لو,9
"if ifs and buts were candies and nuts, we'd all have a merry christmas",لو كان في لو خير ما قالوا لو,9
"if ifs and buts were candy and nuts, we'd all have a merry christmas",لو كان في لو خير ما قالوا لو,9
"if it ain't broke, don't fix it",دعْ ما يريبك إلى ما لا يريبك,5
"if it ain't busted, don't fix it",دعْ ما يريبك إلى ما لا يريبك,5
"if it looks like a duck, swims like a duck, and quacks like a duck, then it probably is a duck",المظاهر لا تخدع دائمًا,3
"if it looks like a duck, swims like a duck, and quacks like a duck, then it's probably a duck",المظاهر لا تخدع دائمًا,3
"if it were a snake, it would have bit you",واضحة وضوح الشمس,3
if it were not for hope the heart would break,لولا الأمل لضاق بنا الحال,7
if pigs had wings they would fly,لو كان فيه خير ما رماه الطير,4
"if the mountain will not come to mohammed, then mohammed must go to the mountain",إن لم تأتِ الجبال إلى محمد أتى محمد الجبال,10
if the mountain won't come to mohammed,إن لم تأتِ الجبال إلى محمد أتى محمد الجبال,10
if the mountain won't come to muhammad,إن لم تأتِ الجبال إلى محمد أتى محمد الجبال,10
"if the mountain won't come to muhammad, then muhammad must go to the mountain",إن لم تأتِ الجبال إلى محمد أتى محمد الجبال,10
"if the shoe fits, wear it",اللي على راسه بطحة يحسس عليها,9
"if we had ham we could have ham and eggs, if we had eggs",لو كان في لو خير ما قالوا لو,8
"if we had some ham we could have some ham and eggs, if we had some eggs",لو كان في لو خير ما قالوا لو,8
"if wealth is lost, nothing is lost. if health is lost, something is lost. if character is lost, everything is lost",الصحة تاج على رؤوس الأصحاء لا يراه إلا المرضى,6
"if wishes were horses, beggars might ride",التمني لا يغني عن العمل,8
"if wishes were horses, beggars would ride",التمني لا يغني عن العمل,8
"if you aim at nothing, you'll hit it every time",من لا هدف له لا يصل إلى شيء,6
"if you believe everything you read, better not to read",لا تصدق كل ما يقال ولا نصف ما يُكتب,7
"if you build it, they will come",اعمل وسيأتيك الرزق من حيث لا تحتسب,5
"if you can't be good, be careful",إن لم تستطع أن تكون صالحًا فكن حذرًا,4
"if you can't beat them, join them",إن لم تستطع هزيمتهم فانضم إليهم,9
"if you can't do the time, don't do the crime",من يزرع الشوك لا يجني إلا الجراح,6
"if you can't lick them, join them",إن لم تستطع هزيمتهم فانضم إليهم,9
"if you can't stand the heat, get out of the kitchen",من لا يتحمل لهيب النار يبتعد عن المطبخ,7
"if you find yourself in a hole, the first thing to do is stop digging",إذا وقع الفأس في الرأس فلا تزد الطين بلة,6
"if you fly with the crows, you get shot with the crows",من عاشر القوم أربعين يومًا صار منهم,7
"if you give a mouse a cookie, he'll always ask for a glass of milk",من أطعم جائعًا كساه الطمع,5
"if you lie down with dogs, you get up with fleas",من عاشر القوم أربعين يومًا صار منهم,7
"if you lie down with dogs, you will get up with fleas",الصاحب ساحب,8
if you lie with dogs you will get fleas,من جالس جانس,8
"if you mess with the bull, you get the horns",من يقترب من النار يحترق,6
"if you pay bananas, you get monkeys",من يدفع الفتات لا يتوقع إلا الفتات,5
"if you pay peanuts, you get monkeys",على قدر ما تدفع يأتيك العمل,5
"if you play with fire, you will get burned",من يلعب بالنار يحترق,10
"if you think that you know everything, then you're a jack ass",من ظن أنه قد علم فقد جهل,8
"if you want a thing done well, do it yourself",ما حك جلدك مثل ظفرك,10
"if you want peace, prepare for war",أعدّوا لهم ما استطعتم من قوة,7
"if you're growing in age, then you're nearing to the graveyard",ما بعد الشباب إلا المشيب,6
"if you've got it, flaunt it",إن كان عندك ما يميزك فلا تخفه,4
ignorance is bliss,كثرة العلم كثرة الهم,7
ill doers are ill deemers,كل إناء بما فيه ينضح,6
ill news spreads apace,الخبر السيئ ينتشر سريعًا,6
ill-gotten gains never prosper,ما بني على باطل فهو باطل,9
imitation is the sincerest form of flattery,التقليد أبلغ صور الإعجاب,5
"in for a dime, in for a dollar",إذا ركبت البحر فلا تخشَ من البلل,8
"in for a penny, in for a pound",إذا ركبت البحر فلا تخشَ من البلل,9
"in for an inch, in for a mile",إذا ركبت البحر فلا تخشَ من البلل,8
"in the country of the blind, the one-eyed man is king",ذو العاهة في قومٍ عميان سيد,7
"in the kingdom of the blind, the one eyed man is king",ذو العاهة في قومٍ عميان سيد,7
"in the land of the blind, the one-eyed man is king",ذو العاهة في قومٍ عميان سيد,7
"in the valley of the blind, the one-eyed man is king",ذو العاهة في قومٍ عميان سيد,7
"in unity, there is strength",الاتحاد قوة,10
in vino veritas,ما في القلب على اللسان,6
"in wine, there is truth",ما في القلب على اللسان,6
into every life a little rain must fall,لا بدّ من يومٍ مرّ,6
it ain't over 'til the fat lady sings,لسه المولد ما انتهى,7
it ain't over till it's over,لسه المولد ما انتهى,7
it ain't over till the fat lady sings,لسه المولد ما انتهى,7
it ain't over till/until it's over,لسه المولد ما انتهى,7
it ain't over until the fat lady sings,لسه المولد ما انتهى,7
it ain't the whistle that pulls the train,المظاهر خداعة,6
it ain't what you don't know that gets you into trouble. it's what you know for sure that just ain't so,نصف العلم أخطر من الجهل,7
it goes without saying,غني عن القول,10
it is a small world,الدنيا صغيرة,10
it is all grist to the mill,كلها تصب في نفس المجرى,6
it is always darkest before the dawn,اشتدي يا أزمة تنفرجي,8
it is always darkest just before the dawn,اشتدي يا أزمة تنفرجي,8
it is best to be on the safe side,الحيطة واجبة,8
it is better to be smarter than you appear than to appear smarter than you are,خيرٌ لك أن تُتَّهَم بالبلادة من أن تُتَّهَم بالرياء في العلم,4
it is better to give than to receive,اليد العليا خير من اليد السفلى,10
it is better to light a candle than curse the darkness,إشعال شمعة خير من لعن الظلام,10
it is darkest before the dawn,اشتدي يا أزمة تنفرجي,8
it is darkest just before the dawn,اشتدي يا أزمة تنفرجي,8
it is easier for a camel to go through the eye of a needle than for a rich man to enter into the kingdom of god,دخول الجمل في سم الخياط أهون من دخول الغني الجنة,9
it is easy to be wise after the event,بعد الخراب يجيك العُمَران,5
it is easy to find a stick to beat a dog,من أراد ضرب الكلب ادعى أنه مسعور,8
it is never too late,ما لا يُدرك كلّه لا يُترك جلّه,6
it is no use crying over spilt milk,لا ينفع الندم بعد فوات الأوان,10
it is no use locking the stable door after the horse has bolted,لا تُغلق الباب بعد خروج الجمل,5
it is not the whistle that pulls the train,الرجال أفعال لا أقوال,6
it is the early bird that gets the worm,البكور نصف الرزق,10
it is the empty can that makes the most noise,الطبل الأجوف أكثر قرعاً,8
it is the last straw that breaks the camel's back,القشة التي قصمت ظهر البعير,10
it is the squeaky wheel that gets the grease,من يصرخ يُسمَع صوته,5
it is what it is,اللي كاتبه ربك يصير,7
it isn't over 'til the fat lady sings,لسه المولد ما انتهى,6
it isn't over till the fat lady sings,لسه المولد ما انتهى,6
it isn't over until the fat lady sings,لسه المولد ما انتهى,6
it isn't the whistle that pulls the train,الرجال أفعال لا أقوال,6
it needs a hundred lies to cover a single lie,حبل الكذب قصير,9
it never rains but it pours,المصائب لا تأتي فرادى,10
it never rains but that it pours,المصائب لا تأتي فرادى,10
it takes a heap o' livin' to make a house a home,البيت بيت من فيه,7
it takes a heap of living to make a house a home,البيت بيت من فيه,7
it takes a lot of living to make a house a home,البيت بيت من فيه,7
it takes a thief to catch a thief,ما يِفَلِّت الديب إلا ديب زيه,8
it takes a village,إيد لوحدها ما تصفّق,6
it takes a village to raise a child,ترباية الولد على أهل الحارة كلهم,5
it takes a whole village to raise a child,ترباية الولد على أهل الحارة كلهم,5
it takes all kinds,لولا اختلاف الأذواق لبارت السلع,9
it takes all kinds to make a world,لولا اختلاف الأذواق لبارت السلع,9
it takes all sorts,لولا اختلاف الأذواق لبارت السلع,9
it takes all sorts to make a world,لولا اختلاف الأذواق لبارت السلع,9
it takes one to know one,ما يعرف قيمة الرجال إلا الرجال,7
it takes two to make a quarrel,ما في دخان من غير نار,5
it takes two to quarrel,ما في دخان من غير نار,5
it takes two to tango,الرقصة بدها اتنين,6
it will be the same a hundred years hence,بعد مية سنة كله تحت التراب,5
it will come back and haunt you,كما تدين تدان,10
it's a long road that has no turning,ما في حال يدوم,7
it's a man's world,الدنيا للرجال,7
"it's a tough job, but someone's got to do it",شغلانة وسخة ولازم حد يشيلها,7
it's all fun and games until someone loses an eye,الهزار لما يزيد عن حده يقلب لجد,8
it's an ill bird that fouls its own nest,ما يعيبش أهله إلا ابن الحرام,9
it's an ill wind that blows no good,رب ضارة نافعة,10
it's an ill wind that blows no one any good,رب ضارة نافعة,10
it's an ill wind that blows nobody any good,رب ضارة نافعة,10
it's an ill wind that blows nobody good,رب ضارة نافعة,10
it's better to ask forgiveness than permission,استغفر ولا تستأذن,6
it's easier to ask forgiveness than to get permission,استغفر ولا تستأذن,6
it's greek to me,كلامه طلاسم,8
it's lonely at the top,القمة وحيدة,6
it's never too late to mend,أن تصل متأخراً خير من ألا تصل أبداً,9
it's not over 'til the fat lady sings,لسه المولد ما انتهى,7
it's not over till the fat lady sings,لسه المولد ما انتهى,7
it's not over until the fat lady sings,لسه المولد ما انتهى,7
it's not the whistle that pulls the train,مو كل من صفّر صار زمّار,7
it's not what you know but who you know,اللي له ظهر ما ينضربش على بطنه,8
it's not what you know but whom you know,اللي له ظهر ما ينضربش على بطنه,8
it's not what you say but how you say it,الكلام الحلو يطلّع الحية من جحرها,7
it's the hit dog that howls,اللي على راسه بطحة يتحسس عليها,10
it's the little things,الشيء القليل خير من لا شيء,6
it's the thought that counts,المهم النية,9
"jack of all trades, master of none/one/some",صاحب بالين كذاب وصاحب تلاتة منافق,8
joan's as good as my lady in the dark,في العتمة كل القطط سودا,9
"judge not, lest ye be judged",كما تدين تدان,10
"judge not, that ye be not judged",كما تدين تدان,10
"judge not, that you be not judged",كما تدين تدان,10
justice delayed is justice denied,العدالة البطيئة ظلم,8
justice is blind,العدل أعمى,7
karma is a bitch,الدنيا دوارة,9
karma's a bitch,الدنيا دوارة,9
keep your chin up,ارفع راسك,8
keep your friends close and your enemies closer,اتق شر من أحسنت إليه,6
"keep your friends close, and your enemies closer",اتق شر من أحسنت إليه,6
keep your powder dry,خلي سلاحك جاهز,6
kids will be kids,العيال عيال,8
kill the chicken to scare the monkey,اضرب المربوط يخاف السايب,9
kill the goose that lays the golden egg,قطع الغصن اللي قاعد عليه,7
kill two birds with one stone,يضرب عصفورين بحجر واحد,10
kindness in words creates confidence. kindness in thinking creates profoundness. kindness in giving creates love,الكلمة الطيبة صدقة,7
kissing goes by favor,القلوب عند بعضها,5
knock on (or touch) wood,ما شاء الله لا قوة إلا بالله,6
know thyself,رحم الله امرأ عرف قدر نفسه,10
know which side (one's) bread is buttered,يعرف من أين تؤكل الكتف,10
knowledge is power,العلم قوة,9
"knowledge is power, guard it well",العلم سلاح,7
laugh and grow fat,الضحك يطوّل العمر,6
"laugh and the world laughs with you, weep and you weep alone",الفرح له ألف صاحب والحزن ماله صاحب,10
"laugh before breakfast, cry before supper",كثرة الضحك تميت القلب,6
laughter is the best medicine,الضحك دواء,7
"learn a language, and you will avoid a war",من تعلم لغة قوم أمن شرهم,10
"least said, soonest mended",إذا كان الكلام من فضة فالسكوت من ذهب,9
leave with the one that brought ya,اللي بدأ معك كمّل معه,5
leave with the one that brung ya,اللي بدأ معك كمّل معه,5
leave with the one that brung you,اللي بدأ معك كمّل معه,5
leave with the one what brought ya,اللي بدأ معك كمّل معه,5
leave with the one what brought you,اللي بدأ معك كمّل معه,5
leave with the one what brung ya,اللي بدأ معك كمّل معه,5
leave with the one what brung you,اللي بدأ معك كمّل معه,5
leave with the one who brought ya,اللي بدأ معك كمّل معه,5
leave with the one who brought you,اللي بدأ معك كمّل معه,5
leave with the one who brung ya,اللي بدأ معك كمّل معه,5
leave with the one who brung you,اللي بدأ معك كمّل معه,5
less is more,خير الكلام ما قل ودل,9
let bygones be bygones,عفا الله عما سلف,10
let not the sun go down on your wrath,لا تنم وبينك وبين أحد خصام,7
let sleeping dogs lie,ابعد عن الشر وغنّيله,9
let the buyer beware,المشتري شريك البائع,6
let the cat out of the bag,طلع السر من الجرة,8
let the cobbler stick to his last,أعطِ الخبز لخبازه ولو أكل نصه,10
let the dead bury the dead,دع ما مضى يمضي,6
let the punishment fit the crime,الجزاء من جنس العمل,10
let well alone,اترك الخير على حاله,5
let your hair down,فكها ووسع صدرك,7
life begins at forty,الحياة تبدأ بعد الأربعين,9
life is like a box of chocolates,الدنيا حظوظ,7
life is not all beer and skittles,ليست الحياة وردية,7
life is too short not to do something that matters,العمر قصير فلا تضِعه فيما لا يفيد,7
life is what you make it,على قدر ما تتعب تنل,7
life's a bitch and then you die,الدنيا دار نكد,7
"life's a bitch, and then you die",الدنيا دار نكد,7
lightning does not strike twice in the same place,لا يلدغ المؤمن من جحر واحد مرتين,9
lightning doesn't strike twice in the same place,لا يلدغ المؤمن من جحر واحد مرتين,9
lightning never strikes the same place twice,لا يلدغ المؤمن من جحر واحد مرتين,9
lightning never strikes twice,لا يلدغ المؤمن من جحر واحد مرتين,9
lightning never strikes twice in the same place,لا يلدغ المؤمن من جحر واحد مرتين,9
like father like son,هذا الشبل من ذاك الأسد,10
"like father, like son",هذا الشبل من ذاك الأسد,10
"like mother, like daughter",البنت سر أمها,8
little pitchers have big ears,للحيطان آذان,9
little pitchers have long ears,للحيطان آذان,9
little strokes fell great oaks,قليل دائم خير من كثير منقطع,8
little things please little minds,على قدر عقله يكون مزحه,6
live and let live,دع الخلق للخالق,7
"live by the sword, die by the sword",من حفر حفرة لأخيه وقع فيها,8
live each day as if it were your last and one day you will surely be right,اغتنم حياتك قبل موتك,7
"live fast, die young",من عاش بسرعة مات بسرعة,5
"live for today, for tomorrow never comes",ما مضى فات والمؤمل غيب ولك الساعة التي أنت فيها,8
"live not to eat, but eat to live",نأكل لنعيش لا نعيش لنأكل,10
live to fight another day,الانسحاب تكتيك,6
"location, location, location",المكان ثم المكان ثم المكان,6
"long absent, soon forgotten",البعيد عن العين بعيد عن القلب,10
look before you leap,قبل ما تحفر احسب عمقها,7
lookers-on see most of the game,الفرّاج يشوف أكثر من اللعّاب,7
looks can be deceiving,ليس كل ما يلمع ذهبًا,10
loose lips sink ships,لسانك حصانك إن صنته صانك وإن خنته خانك,9
loss and gain are brothers twain,يوم لك ويوم عليك,9
love cannot be forced,القلب وما يريد,8
love conquers all,المحبة تَهزم كل شيء,6
love is blind,ومن الحب ما قتل,7
love of money is the root of all evil,حب المال رأس كل خطيئة,9
love the sinner but hate the sin,أبغِض المعصية ولا تُبغِض العاصي,8
"love the sinner, hate the sin",أبغِض المعصية ولا تُبغِض العاصي,8
love will find a way,المحبة تَخترع الحيلة,5
"lucky at cards, unlucky in love",سعيد في اللعب نحس في الحب,6
make hay while the sun shines,اضرب الحديد وهو حامٍ,10
make it do or do without,القناعة كنز لا يفنى,7
man does not live by bread alone,ليس بالخبز وحده يحيا الإنسان,10
man is a wolf to man,الإنسان ذئب لأخيه الإنسان,8
man plans and god laughs,يُدبِّر الإنسان ويُدبِّر الله,6
"man proposes, god disposes",يُدبِّر الإنسان والله يقدِّر,9
"man proposes, heaven disposes",يُدبِّر الإنسان والله يقدِّر,9
man shall not live by bread alone,ليس بالخبز وحده يحيا الإنسان,10
"man thinks, god laughs",يُخطِّط الإنسان ويَقدِّر الله,6
manners maketh man,الإنسان بأخلاقه لا بثيابه,10
many a little makes a mickle,القليل مع القليل كثير,9
many a mickle makes a muckle,القليل مع القليل كثير,9
many a true word is spoken in jest,يُقال المزاح وفيه جد,7
many hands make light work,يدٌ واحدة لا تُصفِّق,9
marriages are made in heaven,الزواج قِسمة ونصيب,10
"marry in haste, repent at leisure",تأنَّ في الزواج ولا تندم في الطلاق,6
measure twice and cut once,في التأني السلامة وفي العجلة الندامة,9
"measure twice, cut once",في التأني السلامة وفي العجلة الندامة,9
men are blind in their own cause,الإنسان أعمى عن عيوب نفسه,10
mess with the bull and you get the horns,من يزرع الشوك لا يجني العنب,7
"mess with the bull, get the horns",من يزرع الشوك لا يجني العنب,7
might is right,الحق للقوة,6
might makes right,الحق لمن غلب,10
mighty oaks from little acorns grow,رحلة الألف ميل تبدأ بخطوة,8
misery enjoys company,المصيبة تجمع,8
misery loves company,المصيبة تحب الجماعة,8
misfortunes never come alone,المصائب لا تأتي فرادى,10
misfortunes never come singly,المصائب لا تأتي فرادى,10
mocking is catching,من سخر من الناس سخروا منه,7
moderation in all things,خير الأمور أوسطها,10
money can't buy happiness,المال لا يشتري السعادة,10
money cannot buy happiness,المال لا يشتري السعادة,10
"money demands care, you abuse it and it disappears",المال مثل الملح إن زاد أفسد,5
money does not grow on trees,القرش الأبيض بيحتاجه النهارده قبل بكره,4
money does not smell,المال لا رائحة له,6
money does not stink,المال لا رائحة له,6
money doesn't grow on trees,المال لا يأتي بلا تعب,7
"money earned by deceit, goes by deceit",ما بني على باطل فهو باطل,8
money has no smell,المال لا رائحة له,6
money is not everything,المال ليس كل شيء,9
money is the root of all evil,المال أصل كل بلاء,8
"money makes many things, but also makes devil dance",المال خادم جيد لكنه سيد سيئ,7
money makes the world go around,المال عصب الحياة,10
money talks,المال يتكلم,7
money talks and bullshit walks,المال يفعل الأعاجيب,6
"money talks, bullshit walks",المال يفعل الأعاجيب,6
"more haste, less speed",في العجلة الندامة وفي التأني السلامة,10
"move your feet, lose your seat",اللي يسبق يأكل النبق,6
mud sticks,السمعة السيئة تسبق صاحبها,7
murder will out,القتل لا يخفى,8
music has charms to soothe the savage beast,الموسيقى غذاء الروح,8
my enemy's enemy is my friend,عدو عدوي صديقي,10
ne'er cast a clout till may be out,لا تأمن للجو ولو كان صافي,4
nearly never won the race,لا يُغني عن الحق قريبُه,5
necessity is the mother of innovation,الحاجة أم الاختراع,10
necessity is the mother of invention,الحاجة أم الاختراع,10
necessity knows no law,الضرورات تبيح المحظورات,10
needs must,الضرورة لها أحكام,8
needs must when the devil drives,الضرورات تبيح المحظورات,8
neither a borrower nor a lender be,استغنِ عن الناس يحبّوك,6
never ask the barber if you need a haircut,لا تسأل التاجر عن بضاعته,9
never cast a clout until may be out,لا تأمن للجو ولو كان صافي,5
never change a running system,اترك الشيء ما دام شغّال,6
never give advice unless asked,من تدخل فيما لا يعنيه سمع ما لا يرضيه,6
never judge a book by its cover,ليس كل ما يلمع ذهبًا,10
never let the sun go down on your anger,لا تبت وأنت غضبان,7
never look a gift horse in the mouth,لا تنظر في هدية سنّها,4
never put off until tomorrow what you can do today,لا تؤجل عمل اليوم إلى الغد,10
never say die,لا تيأس من روح الله,7
never say never,لا تقل أبدًا,6
never speak ill of the dead,اذكروا محاسن موتاكم,10
never tell tales out of school,الستر زين,5
never too old to learn,اطلب العلم من المهد إلى اللحد,10
new brooms sweep clean,المستجدّ محبوب,5
nice guys finish last,الطيب يأكله الكل,6
"no bucks, no buck rogers",اللي ما معه قرش ما يساوي قرش,6
no gain without pain,من جدّ وجد,9
no good deed ever goes unpunished,خيرا تعمل شرّا تلقى,9
no good deed goes unpunished,خيرا تعمل شرّا تلقى,9
"no guts, no glory",من خاف سلم ومن خاطر غنم,8
no man can serve two masters,لا يجتمع سيفان في غمد واحد,7
no man is an island,اليد الواحدة لا تصفق,9
"no matter how much milk you put in coffee, it's still coffee",الطبع يغلب التطبع,9
"no matter how much milk you put in tea, it's still tea",الطبع يغلب التطبع,9
"no matter how thin you slice it, it's still baloney",العيب ما يتغطى,7
"no matter how thin you slice it, it's still boloney",العيب ما يتغطى,7
"no matter how you slice it, it's still the same old baloney",العيب ما يتغطى,7
"no mill, no meal",من جد وجد,5
no news is good news,الباب اللي يجيك منه الريح سده واستريح,6
no one can make you feel inferior without your consent,من عرف قدر نفسه ما هانه أحد,8
no one is born a master,ما في حدا بينولد متعلم,9
no one should be judge in his own case,ما يكون الخصم هو الحكم,8
no one should be judge in his own cause,ما يكون الخصم هو الحكم,8
"no pain, no gain",من جد وجد,9
no peace for the weary,لا راحة مع الدنيا,7
no rest for the weary,لا راحة مع الدنيا,7
no rest for the wicked,اللي في قلبه على لسانه ما يرتاح,4
no rose without a thorn,ما في ورد بلا شوك,10
no sleep for the wicked,اللي في قلبه على لسانه ما يرتاح,4
no smoke without fire,ما في دخان بلا نار,10
no time like the present,ما تؤجل عمل اليوم إلى الغد,10
not all heroes wear capes,الرجال مواقف,8
not all those who wander are lost,مش كل تايه ضايع,9
nothing gold can stay,ما يدوم حال,8
nothing is certain but death and taxes,ما في شي أكيد إلا الموت,7
nothing is said that has not been said before,ما ترك الأول للآخر شيء,10
nothing new under the sun,ما في جديد تحت الشمس,9
nothing succeeds like success,النجاح يجلب النجاح,6
"nothing ventured, nothing gained",من لا يغامر لا يغنم,9
oil and water do not mix,الزيت ما يختلط بالماء,9
oil and water don't mix,الزيت ما يختلط بالماء,9
old habits die hard,الطبع يغلب التطبع,10
old sins cast long shadows,الذنب ما ينسى,6
old sins have long shadows,اللي فات ما مات,7
on the internet nobody knows you're a dog,اللي على النت مو دايمًا على الحقيقة,6
"on the internet, nobody knows you're a dog",اللي على النت مو دايمًا على الحقيقة,6
"once a man, twice a boy",يكبر الإنسان ويصغر,5
"once a man, twice a child",أوله طفل وآخره طفل,6
"once a thief, always a thief",الحرامي يفضل حرامي,8
once an adult and twice a child,أوله طفل وآخره طفل,7
"once an adult, twice a child",أوله طفل وآخره طفل,7
"once bitten, twice shy",اللي اتلسع من الشوربة ينفخ في الزبادي,10
"once burned, twice cautious",اللي اتلسع من الشوربة ينفخ في الزبادي,9
"once burned, twice shy",اللي اتلسع من الشوربة ينفخ في الزبادي,10
"once hurt, twice shy",اللي اتلسع من الشوربة ينفخ في الزبادي,9
"once on shore, we pray no more",وقت الشدة تكثر العبادة,8
one bad apple can spoil the barrel,تفاحة فاسدة تفسد السلة كلها,8
one bad apple can spoil the whole bunch,تفاحة فاسدة تفسد السلة كلها,8
one bad turn deserves another,كما تدين تدان,10
one can run but one can't hide,تجري تجري والقدر يلحقك,7
one can't break a stick in a bundle,إيد لوحدها ما تصفق,7
one can't break a twig in a bundle,الاتحاد قوة,8
one can't break sticks in a bundle,الاتحاد قوة,8
one can't carry two watermelons under one arm,ما ينشال بيد ما ينشال بيدين,6
one can't hold two watermelons in one hand,ما ينشال بيد ما ينشال بيدين,6
one cannot break a stick in a bundle,الاتحاد قوة,8
one cannot break a twig in a bundle,الاتحاد قوة,8
one good turn deserves another,من حفر بئرًا لأخيه سُقي منه,5
one half of the world does not know how the other half lives,أهل مكة أدرى بشعابها,6
one hand can't hold two watermelons,ما ينشال بيد ما ينشال بيدين,6
one hand washes the other,يد واحدة لا تصفق,7
one kind word can warm three winter months,الكلمة الطيبة صدقة,9
one law for the rich and another for the poor,القانون سيف على الضعيف,9
one man's fish is another man's poison,مصائب قوم عند قوم فوائد,9
one man's fish is another man's poisson,مصائب قوم عند قوم فوائد,9
one man's loss is another man's gain,مصائب قوم عند قوم فوائد,10
one man's meat is another man's poison,مصائب قوم عند قوم فوائد,10
one man's terrorist is another man's freedom fighter,مصائب قوم عند قوم فوائد,6
one man's trash is another man's treasure,مصائب قوم عند قوم فوائد,8
one may as well hang for a sheep as a lamb,اللي اختشوا ماتوا,3
one might as well be hanged for a sheep as a lamb,اللي اختشوا ماتوا,3
one might as well throw water into the sea as to do a kindness to rogues,اتق شر من أحسنت إليه,8
one nail drives out another,دَواؤُكَ فيكَ وما تُبصِر,2
"one night with venus, a lifetime with mercury",رب لذة ساعة تعقبها حسرة دهر,9
one swallow does not a spring make,زهرة واحدة لا تصنع الربيع,10
one swallow does not a summer make,زهرة واحدة لا تصنع الربيع,10
