en,fr,confidence
evil be to him who evil thinks,Malheur à celui qui voit le mal partout,4
experience is the best teacher,C’est en forgeant qu’on devient forgeron,9
fact is stranger than fiction,La réalité dépasse la fiction,10
facts speak louder than words,Les faits parlent d’eux-mêmes,8
failing to plan is planning to fail,Qui ne prévoit pas échoue,3
failure is the best teacher,On apprend de ses erreurs,9
failure to prepare is preparing to fail,Qui ne se prépare pas se condamne à l’échec,6
faint heart never won fair lady,Qui ne tente rien n’a rien,8
fair exchange is no robbery,Échange n’est pas vol,10
faith can move mountains,La foi soulève les montagnes,10
faith will move mountains,La foi soulève les montagnes,10
"fall seven times, stand up eight","Tomber sept fois, se relever huit",9
false friends are worse than open enemies,Mieux vaut un ennemi déclaré qu’un faux ami,8
familiarity breeds contempt,Nul n’est prophète en son pays,7
fas est et ab hoste doceri,On peut toujours apprendre de son ennemi,5
fight fire with fire,On combat le feu par le feu,9
finders keepers,À qui trouve appartient,6
"finders, keepers",À qui trouve appartient,6
"finders, keepers; losers, weepers",À qui trouve appartient,5
fine feathers make fine birds,L’habit fait le moine,10
fine words butter no parsnips,Les belles paroles ne remplissent pas l’assiette,7
first catch your hare,Il ne faut pas vendre la peau de l’ours avant de l’avoir tué,9
"first come, first served","Premier arrivé, premier servi",10
first impressions are the most lasting,La première impression est toujours la bonne,9
first things first,Chaque chose en son temps,9
fish always rots from the head downwards,Le poisson pourrit par la tête,10
fish and company stink after three days,"Les invités sont comme le poisson, ils se gâtent au bout de trois jours",7
fish and guests smell after three days,"Les invités sont comme le poisson, ils se gâtent au bout de trois jours",8
flattery will get you nowhere,La flatterie ne mène à rien,7
"fool me once, shame on you; fool me twice, shame on me",Chat échaudé craint l’eau froide,7
fools rush in,Les fous se précipitent là où les sages hésitent,5
fools rush in where angels fear to tread,Les fous se précipitent là où les sages hésitent,6
for want of a nail the shoe was lost; for want of a shoe the horse was lost; and for want of a horse the man was lost,Un petit rien peut tout gâter,5
forbidden fruit is the sweetest,Le fruit défendu est le plus tentant,10
forewarned is forearmed,Un homme averti en vaut deux,10
"forewarned, forearmed",Un homme averti en vaut deux,10
fortune favors the bold,La fortune sourit aux audacieux,10
fortune favors the brave,La fortune sourit aux audacieux,10
fortune favors the daring,Qui ne risque rien n’a rien,10
fortune favours the bold,Qui ne risque rien n’a rien,10
fortune favours the bold/brave,Qui ne risque rien n’a rien,10
fortune favours the brave,Qui ne risque rien n’a rien,10
fortune favours the daring,Qui ne risque rien n’a rien,10
freedom ain't free,La liberté a un prix,9
freedom is not free,La liberté a un prix,9
freedom isn't free,La liberté a un prix,9
freedom's not free,La liberté a un prix,9
from the sublime to the ridiculous,Il n’y a qu’un pas entre le sublime et le ridicule,9
"garbage in, garbage out","À mauvais outils, mauvais ouvrage",6
"genius is one percent inspiration, ninety-nine percent perspiration",À cœur vaillant rien d’impossible,4
give a dog a bad name and hang him,Qui veut noyer son chien l’accuse de la rage,10
give a man a fish and you feed him for a day. teach a man to fish and you feed him for a lifetime,Mieux vaut apprendre à pêcher que donner du poisson,8
give a man a fish and you feed him for a day; teach a man to fish and you feed him for a lifetime,Mieux vaut apprendre à pêcher que donner du poisson,8
give a man rope enough and he will hang himself,Donnez-lui assez de corde et il se pendra tout seul,7
give credit where credit is due,Rendons à César ce qui est à César,10
give him an inch and he will take a mile,"Donnez-lui la main, il vous prendra le bras",10
give someone an inch and someone will take a mile,"Donnez la main, on vous prendra le bras",10
give someone enough rope and they'll hang themself,Donnez-lui assez de corde et il se pendra tout seul,7
give the devil his/her due,Il faut rendre justice même au diable,7
give them an inch and they'll take a mile,"Donnez-leur la main, ils vous prendront le bras",10
give them an inch and they'll take an ell,"Donnez-leur la main, ils vous prendront le bras",10
go hard or go home,Qui ne tente rien n’a rien,7
god doesn't give with both hands,On ne peut pas tout avoir,9
god helps them that help themselves,"Aide-toi, le ciel t’aidera",10
god helps them who help themselves,"Aide-toi, le ciel t’aidera",10
god helps those who help themselves,"Aide-toi, le ciel t’aidera",10
god is in the detail,Le diable est dans les détails,9
god works in mysterious ways,Les voies du Seigneur sont impénétrables,10
gods may do what cattle may not,Ce qui est permis à Jupiter ne l’est pas au bœuf,10
gold is where you find it,À chacun son trésor,5
"good artists copy, great artists steal","Rien ne se perd, tout se transforme",3
good fences make good neighbors,Les bons comptes font les bons amis,10
good fences make good neighbours,Les bons comptes font les bons amis,10
good things come in small packages,Tout ce qui est petit est mignon,7
good things come in threes,Jamais deux sans trois,9
good things come to those who wait,Tout vient à point à qui sait attendre,10
good wine needs no bush,La bonne marchandise se passe de réclame,9
"good work ain't cheap, cheap work ain't good",On en a pour son argent,7
"grasp all, lose all",Qui trop embrasse mal étreint,10
great haste makes great waste,"Rien ne sert de courir, il faut partir à point",8
great minds think alike,Les grands esprits se rencontrent,10
great oaks from little acorns grow,Les petits ruisseaux font les grandes rivières,9
"hair today, gone tomorrow",Rien n’est éternel,3
half a loaf is better than no bread,Moins vaut que rien n’avoir,4
half a loaf is better than no loaf,Un tiens vaut mieux que deux tu l’auras,7
half a loaf is better than none,C’est mieux que rien,8
handsome is as handsome does,La beauté du cœur vaut mieux que la beauté du corps,6
handsome is that handsome does,La beauté du cœur vaut mieux que la beauté du corps,6
"happy wife, happy life","Femme contente, maison contente",6
hard work never did anyone any harm,Le travail n’a jamais tué personne,10
haste makes waste,Qui va lentement va sûrement,8
he laughs best that laughs last,Rira bien qui rira le dernier,10
"he that goes a-borrowing, goes a-sorrowing",Qui paie ses dettes s’enrichit,3
"he that mischief hatches, mischief catches",Qui sème le vent récolte la tempête,9
he who digs a pit for others falls in himself,Tel est pris qui croyait prendre,8
"he who fails to prepare, prepares to fail",Qui ne prévoit pas échoue,3
he who hesitates is lost,Qui n’ose rien n’a rien,7
he who knows does not speak. he who speaks does not know,Ceux qui savent se taisent,4
he who laughs last laughs best,Rira bien qui rira le dernier,10
he who laughs last laughs hardest,Rira bien qui rira le dernier,10
he who laughs last laughs longest,Rira bien qui rira le dernier,10
"he who lives by the sword, dies by the sword",Qui vit par l’épée périra par l’épée,9
he who loves the world as his body may be entrusted with the empire,Qui sait se gouverner peut gouverner les autres,5
he who pays the piper calls the tune,Qui paie commande,10
he who said the rhyme did the crime,Qui s’excuse s’accuse,6
he who sups with the devil should have a long spoon,Qui se frotte au diable s’en brûle,7
health is wealth,"La santé, c’est la richesse",8
health is your first wealth,La santé est le plus grand des biens,9
heaven helps those that help themselves,"Aide-toi, le ciel t’aidera",10
heaven helps those who help themselves,"Aide-toi, le ciel t’aidera",10
hell has no fury like a woman scorned,Il n’est pire colère que celle d’une femme méprisée,6
hell hath no fury like a woman scorned,Il n’est pire colère que celle d’une femme méprisée,6
"hell hath no fury like a woman scorned; heav'n has no rage, like love to hatred turn'd, nor hell a fury, like a woman scorn'd",Il n’est pire colère que celle d’une femme méprisée,5
"hell is full of good meanings, but heaven is full of good works",L’enfer est pavé de bonnes intentions,10
"hic rhodus, hic salta",C’est ici qu’il faut montrer ce que tu sais faire,5
hindsight is 20/20,"Après coup, tout le monde est sage",8
hindsight is always twenty-twenty,"Après coup, tout le monde est sage",8
history is written by the victors,L’histoire est écrite par les vainqueurs,9
history repeats itself,L’histoire se répète,9
home is where the heart is,On est bien que chez soi,7
home is where you hang your hat,"Partout où l’on se sent bien, on est chez soi",6
honesty is the best policy,La franchise est la meilleure politique,8
honey catches more flies than vinegar,On attire plus de mouches avec du miel qu’avec du vinaigre,10
"hope for the best, and prepare for the worst",Espérer le meilleur et se préparer au pire,8
"hope for the best, prepare for the worst",Espérer le meilleur et se préparer au pire,8
hope springs eternal,L’espoir fait vivre,10
hope springs eternal in the human breast,L’espoir fait vivre,10
horses for courses,À chaque chose son usage,6
how long is a piece of string,Ça dépend,3
how you get them is how you lose them,"Comme on les gagne, on les perd",5
hunger is a good sauce,La faim est le meilleur des assaisonnements,9
hunger is the best pickle,La faim est le meilleur des assaisonnements,8
hunger is the best sauce,La faim est le meilleur des assaisonnements,10
hunger is the best seasoning,La faim est le meilleur des assaisonnements,10
hunger is the best spice,La faim est le meilleur des assaisonnements,10
hurt people hurt people,Qui a été mordu craint les chiens,4
i want doesn't get,On ne meurt pas d’envie,6
i'm going to have to give you the pink slip,Je vais devoir te mettre à la porte,5
idle hands are the devil's playthings,L’oisiveté est la mère de tous les vices,10
idle hands are the devil's tools,L’oisiveté est la mère de tous les vices,10
idle hands are the devil's workshop,L’oisiveté est la mère de tous les vices,10
idle hands make work for the devil,L’oisiveté est la mère de tous les vices,10
"if a job is worth doing, it is worth doing well",Ce qui vaut la peine d’être fait vaut la peine d’être bien fait,10
"if all you have is a hammer, everything looks like a nail",À qui n’a qu’un marteau tout ressemble à un clou,6
"if all you've got is a hammer, everything looks like a nail",À qui n’a qu’un marteau tout ressemble à un clou,6
"if anything can go wrong, it will",La loi de l’emmerdement maximum,7
"if at first you do not succeed, try, try again",C’est en forgeant qu’on devient forgeron,8
if at first you don't succeed,C’est en forgeant qu’on devient forgeron,8
"if at first you don't succeed, try try again",C’est en forgeant qu’on devient forgeron,8
"if god had meant us to fly, he would have given us wings","À vouloir trop en faire, on se brûle les ailes",4
"if ifs and ands were pots and pans, there would be no work for tinkers","Avec des si, on mettrait Paris en bouteille",10
"if ifs and buts were candies and nuts, we'd all have a merry christmas","Avec des si, on mettrait Paris en bouteille",10
"if ifs and buts were candy and nuts, we'd all have a merry christmas","Avec des si, on mettrait Paris en bouteille",10
"if it ain't broke, don't fix it",On ne change pas une équipe qui gagne,9
"if it ain't busted, don't fix it",On ne change pas une équipe qui gagne,9
"if it looks like a duck, swims like a duck, and quacks like a duck, then it probably is a duck","Si ça y ressemble et que ça en a l’odeur, c’est que ça en est",5
"if it looks like a duck, swims like a duck, and quacks like a duck, then it's probably a duck","Si ça y ressemble et que ça en a l’odeur, c’est que ça en est",5
"if it were a snake, it would have bit you","Si c’était un serpent, il t’aurait déjà mordu",3
if it were not for hope the heart would break,L’espoir fait vivre,10
if pigs had wings they would fly,"Et si ma tante en avait, on l’appellerait mon oncle",9
"if the mountain will not come to mohammed, then mohammed must go to the mountain","Si la montagne ne vient pas à Mahomet, Mahomet ira à la montagne",10
if the mountain won't come to mohammed,"Si la montagne ne vient pas à Mahomet, Mahomet ira à la montagne",10
if the mountain won't come to muhammad,"Si la montagne ne vient pas à Mahomet, Mahomet ira à la montagne",10
"if the mountain won't come to muhammad, then muhammad must go to the mountain","Si la montagne ne vient pas à Mahomet, Mahomet ira à la montagne",10
"if the shoe fits, wear it","Si le chapeau te va, mets-le",7
"if we had ham we could have ham and eggs, if we had eggs","Avec des si, on mettrait Paris en bouteille",9
"if we had some ham we could have some ham and eggs, if we had some eggs","Avec des si, on mettrait Paris en bouteille",9
"if wealth is lost, nothing is lost. if health is lost, something is lost. if character is lost, everything is lost",La santé avant tout,4
"if wishes were horses, beggars might ride","avec des si, on mettrait Paris en bouteille",9
"if wishes were horses, beggars would ride","avec des si, on mettrait Paris en bouteille",9
"if you aim at nothing, you'll hit it every time",qui ne risque rien n’a rien,6
"if you believe everything you read, better not to read",il ne faut pas croire tout ce qu’on raconte,7
"if you build it, they will come",à cœur vaillant rien d’impossible,4
"if you can't be good, be careful","faute de mieux, on fait attention",2
"if you can't beat them, join them","si tu ne peux les vaincre, joins-toi à eux",9
"if you can't do the time, don't do the crime",qui fait le malin tombe dans le ravin,6
"if you can't lick them, join them","si tu ne peux les vaincre, joins-toi à eux",9
"if you can't stand the heat, get out of the kitchen",qui craint le feu ne doit pas aller à la cuisine,5
"if you find yourself in a hole, the first thing to do is stop digging","quand on est dans un trou, il faut cesser de creuser",7
"if you fly with the crows, you get shot with the crows",qui se ressemble s’assemble,4
"if you give a mouse a cookie, he'll always ask for a glass of milk","donne-lui la main, il te prendra le bras",10
"if you lie down with dogs, you get up with fleas",qui se frotte aux chiens attrape des puces,9
"if you lie down with dogs, you will get up with fleas",qui se frotte aux chiens attrape des puces,9
if you lie with dogs you will get fleas,qui se frotte aux chiens attrape des puces,9
"if you mess with the bull, you get the horns",qui s’y frotte s’y pique,9
"if you pay bananas, you get monkeys","à bon marché, mauvaise marchandise",8
"if you pay peanuts, you get monkeys","à bon marché, mauvaise marchandise",9
"if you play with fire, you will get burned",qui joue avec le feu se brûle,10
"if you think that you know everything, then you're a jack ass",il n’est pire sot que celui qui croit tout savoir,7
"if you want a thing done well, do it yourself",on n’est jamais mieux servi que par soi-même,10
"if you want peace, prepare for war","si tu veux la paix, prépare la guerre",10
"if you're growing in age, then you're nearing to the graveyard","qui vit, vieillit",5
"if you've got it, flaunt it","quand on a des atouts, on les montre",6
ignorance is bliss,heureux les simples d’esprit,8
ill doers are ill deemers,qui se sent morveux se mouche,6
ill news spreads apace,les mauvaises nouvelles vont vite,10
ill-gotten gains never prosper,bien mal acquis ne profite jamais,10
imitation is the sincerest form of flattery,l’imitation est la plus sincère des flatteries,8
"in for a dime, in for a dollar",qui va loin ménage sa monture,2
"in for a penny, in for a pound","quitte à être pendu, autant voler un bœuf qu’un veau",8
"in for an inch, in for a mile","quitte à être pendu, autant voler un bœuf qu’un veau",8
"in like a lion, out like a lamb","Après la pluie, le beau temps",6
"in the country of the blind, the one-eyed man is king","Au royaume des aveugles, les borgnes sont rois",10
"in the kingdom of the blind, the one eyed man is king","Au royaume des aveugles, les borgnes sont rois",10
"in the land of the blind, the one-eyed man is king","Au royaume des aveugles, les borgnes sont rois",10
"in the midst of life, we are in death",Memento mori,6
"in the valley of the blind, the one-eyed man is king","Au royaume des aveugles, les borgnes sont rois",10
"in unity, there is strength",L’union fait la force,10
in vino veritas,La vérité sort de la bouche des enfants et des ivrognes,9
"in wine, there is truth",La vérité sort de la bouche des enfants et des ivrognes,9
into every life a little rain must fall,"Après la pluie, le beau temps",7
"islands depend on reeds, just as reeds depend on islands","Unis, on est plus forts",5
it ain't over 'til the fat lady sings,Il ne faut pas vendre la peau de l’ours avant de l’avoir tué,7
it ain't over till it's over,Ce n’est pas fini tant que ce n’est pas fini,8
it ain't over till the fat lady sings,Il ne faut pas vendre la peau de l’ours avant de l’avoir tué,7
it ain't over till/until it's over,Ce n’est pas fini tant que ce n’est pas fini,8
it ain't over until the fat lady sings,Il ne faut pas vendre la peau de l’ours avant de l’avoir tué,7
it ain't what you don't know that gets you into trouble. it's what you know for sure that just ain't so,"Le plus dangereux, ce n’est pas ce qu’on ignore, c’est ce qu’on croit savoir",6
it doesn't matter what they say about you as long as they spell your name right,"Peu importe qu’on parle de toi en bien ou en mal, l’essentiel c’est qu’on en parle",8
it goes without saying,Cela va sans dire,10
it is a small world,Le monde est petit,10
it is all grist to the mill,Tout est bon à prendre,6
it is always darkest before the dawn,La nuit est plus sombre juste avant l’aube,7
it is always darkest just before the dawn,La nuit est plus sombre juste avant l’aube,7
it is an ill wind,À quelque chose malheur est bon,8
it is best to be on the safe side,Mieux vaut prévenir que guérir,10
it is better to be smarter than you appear than to appear smarter than you are,"Pour vivre heureux, vivons cachés",5
it is better to give than to receive,Il y a plus de bonheur à donner qu’à recevoir,9
it is better to have loved and lost than never to have loved at all,Mieux vaut avoir aimé et perdu que de n’avoir jamais aimé,7
it is better to light a candle than curse the darkness,Il vaut mieux allumer une bougie que maudire les ténèbres,9
it is better to travel hopefully than to arrive,"L’important, ce n’est pas la destination, c’est le voyage",8
it is darkest before the dawn,La nuit est plus sombre juste avant l’aube,7
it is darkest just before the dawn,La nuit est plus sombre juste avant l’aube,7
it is easier for a camel to go through the eye of a needle than for a rich man to enter into the kingdom of god,Il est plus facile à un chameau de passer par le trou d’une aiguille qu’à un riche d’entrer dans le royaume de Dieu,10
it is easy to be wise after the event,"Après coup, tout le monde est sage",8
it is easy to find a stick to beat a dog,Qui veut noyer son chien l’accuse de la rage,10
it is never too late,mieux vaut tard que jamais,10
it is no use crying over spilt milk,ce qui est fait est fait,9
it is no use locking the stable door after the horse has bolted,il ne sert à rien de fermer l’écurie quand les chevaux sont déjà partis,8
"it is not enough to learn how to ride, you must also learn how to fall",il faut savoir tomber pour apprendre à se relever,6
it is not the whistle that pulls the train,ce n’est pas le plumage qui fait l’oiseau,5
it is the early bird that gets the worm,l’avenir appartient à ceux qui se lèvent tôt,10
it is the empty can that makes the most noise,les tonneaux vides sont ceux qui font le plus de bruit,9
it is the last straw that breaks the camel's back,c’est la goutte d’eau qui fait déborder le vase,10
it is the squeaky wheel that gets the grease,qui ne dit mot n’obtient rien,7
it is what it is,c’est comme ça,8
it isn't over 'til the fat lady sings,"tant que la partie n’est pas finie, tout est possible",6
it isn't over till the fat lady sings,"tant que la partie n’est pas finie, tout est possible",6
it isn't over until the fat lady sings,"tant que la partie n’est pas finie, tout est possible",6
it isn't the whistle that pulls the train,ce n’est pas le plumage qui fait l’oiseau,5
it needs a hundred lies to cover a single lie,un mensonge en attire un autre,9
it never rains but it pours,un malheur ne vient jamais seul,10
it never rains but that it pours,un malheur ne vient jamais seul,10
it takes a heap o' livin' to make a house a home,il faut du temps pour faire d’une maison un foyer,6
it takes a heap of living to make a house a home,il faut du temps pour faire d’une maison un foyer,6
it takes a lot of living to make a house a home,il faut du temps pour faire d’une maison un foyer,6
it takes a thief to catch a thief,il faut un voleur pour en connaître un autre,7
it takes a village,il faut tout un village pour élever un enfant,9
it takes a village to raise a child,il faut tout un village pour élever un enfant,10
it takes a whole village to raise a child,il faut tout un village pour élever un enfant,10
it takes all kinds,il faut de tout pour faire un monde,10
it takes all kinds to make a world,il faut de tout pour faire un monde,10
it takes all sorts,il faut de tout pour faire un monde,10
it takes all sorts to make a world,il faut de tout pour faire un monde,10
it takes one to know one,on reconnaît un voleur à un autre,5
it takes two to make a quarrel,il faut être deux pour se disputer,9
it takes two to quarrel,il faut être deux pour se disputer,9
it takes two to tango,il faut être deux pour danser le tango,7
it will be the same a hundred years hence,"dans cent ans, tout le monde sera mort",6
it will come back and haunt you,tout se paie un jour,8
it's a long road that has no turning,tout finit par changer,4
it's a man's world,c’est un monde d’hommes,7
"it's a tough job, but someone's got to do it",Il faut bien que quelqu’un s’y colle,8
it's all fun and games until someone loses an eye,"On rit, on rit, jusqu’au jour où ça tourne mal",4
it's an ill bird that fouls its own nest,On ne crache pas dans la soupe,8
it's an ill wind that blows no good,À quelque chose malheur est bon,10
it's an ill wind that blows no one any good,À quelque chose malheur est bon,10
it's an ill wind that blows nobody any good,À quelque chose malheur est bon,10
it's an ill wind that blows nobody good,À quelque chose malheur est bon,10
it's better to ask forgiveness than permission,Il vaut mieux demander pardon que permission,9
it's easier to ask forgiveness than to get permission,Il vaut mieux demander pardon que permission,9
it's greek to me,C’est du chinois,10
it's lonely at the top,"Plus on monte, plus on est seul",7
it's never too late to mend,Il n’est jamais trop tard pour bien faire,10
it's not over 'til the fat lady sings,"Tant que la partie n’est pas finie, tout est possible",6
it's not over till the fat lady sings,"Tant que la partie n’est pas finie, tout est possible",6
it's not over until the fat lady sings,"Tant que la partie n’est pas finie, tout est possible",6
it's not what you know but who you know,"Ce qui compte, ce n’est pas ce que tu sais mais qui tu connais",7
it's not what you know but whom you know,"Ce qui compte, ce n’est pas ce que tu sais mais qui tu connais",7
it's not what you say but how you say it,"Ce n’est pas ce que tu dis, c’est la façon dont tu le dis",7
it's the little things,Ce sont les petites choses qui comptent,6
it's the thought that counts,C’est l’intention qui compte,10
"jack of all trades, master of none/one/some","Bon à tout, bon à rien",9
"judge not, lest ye be judged","Ne jugez pas, afin de ne pas être jugés",8
"judge not, that ye be not judged","Ne jugez pas, afin de ne pas être jugés",8
"judge not, that you be not judged","Ne jugez pas, afin de ne pas être jugés",8
justice delayed is justice denied,Justice différée est justice refusée,7
justice is blind,La justice est aveugle,9
karma is a bitch,On récolte ce que l’on sème,7
karma's a bitch,On récolte ce que l’on sème,7
keep your chin up,Garde la tête haute,8
keep your friends close and your enemies closer,Garde tes amis près de toi et tes ennemis encore plus près,7
"keep your friends close, and your enemies closer",Garde tes amis près de toi et tes ennemis encore plus près,7
keep your powder dry,Garde ta poudre au sec,6
kids will be kids,Les enfants resteront des enfants,8
kill the chicken to scare the monkey,Tuer le cochon pour effrayer les autres,4
kill the goose that lays the golden egg,Tuer la poule aux œufs d’or,10
kill two birds with one stone,Faire d’une pierre deux coups,10
kindness in words creates confidence. kindness in thinking creates profoundness. kindness in giving creates love,On attire plus de mouches avec du miel qu’avec du vinaigre,5
kissing goes by favor,Les goûts et les couleurs ne se discutent pas,6
knock on (or touch) wood,Toucher du bois,10
know thyself,Connais-toi toi-même,10
know which side (one's) bread is buttered,Savoir de quel côté son pain est beurré,9
knowledge is power,"Le savoir, c’est le pouvoir",10
laugh and grow fat,Rire est le propre de l’homme,4
"laugh and the world laughs with you, weep and you weep alone","Qui rit le vendredi, pleure le dimanche",3
"laugh before breakfast, cry before supper",Qui rit le matin pleure le soir,9
laughter is the best medicine,Mieux vaut en rire qu’en pleurer,7
"learn a language, and you will avoid a war",Les paroles apaisent plus que les armes,3
"least said, soonest mended","Moins on en dit, mieux ça vaut",8
leave with the one that brought ya,On danse avec celle qui vous a invité,4
leave with the one that brung ya,On danse avec celle qui vous a invité,4
leave with the one that brung you,On danse avec celle qui vous a invité,4
leave with the one what brought ya,On danse avec celle qui vous a invité,4
leave with the one what brought you,On danse avec celle qui vous a invité,4
leave with the one what brung ya,On danse avec celle qui vous a invité,4
leave with the one what brung you,On danse avec celle qui vous a invité,4
leave with the one who brought ya,On danse avec celle qui vous a invité,4
leave with the one who brought you,On danse avec celle qui vous a invité,4
leave with the one who brung ya,On danse avec celle qui vous a invité,4
leave with the one who brung you,On danse avec celle qui vous a invité,4
less is more,Le mieux est l’ennemi du bien,8
let bygones be bygones,Passer l’éponge,8
let george do it,Que les autres s’en occupent,3
let not the sun go down on your wrath,Ne te couche pas fâché,7
let sleeping dogs lie,Il ne faut pas réveiller le chat qui dort,10
let the buyer beware,À l’acheteur de faire attention,4
let the cat out of the bag,Vendre la mèche,9
let the cobbler stick to his last,"À chacun son métier, les vaches seront bien gardées",10
loss and gain are brothers twain,On ne fait pas d’omelette sans casser des œufs,6
love cannot be forced,On n’est pas maître de son cœur,9
love conquers all,L’amour triomphe de tout,10
love is blind,L’amour est aveugle,10
love makes the world go around,Il n’y a que l’amour qui compte,6
love of money is the root of all evil,L’argent est la racine de tous les maux,9
love will find a way,L’amour trouve toujours un chemin,8
"lucky at cards, unlucky in love","Heureux au jeu, malheureux en amour",10
mackerel sky and mare's-tails make lofty ships carry low sails,"Ciel pommelé, vent va souffler",9
mackerel sky and mare's-tails make tall ships carry low sails,"Ciel pommelé, vent va souffler",9
make hay while the sun shines,Il faut battre le fer pendant qu’il est chaud,10
make it do or do without,"Faute de grives, on mange des merles",7
make love not war,"Faites l’amour, pas la guerre",10
man does not live by bread alone,L’homme ne vit pas seulement de pain,10
man is a wolf to man,L’homme est un loup pour l’homme,10
man plans and god laughs,"L’homme propose, Dieu dispose",9
"man proposes, god disposes","L’homme propose, Dieu dispose",10
"man proposes, heaven disposes","L’homme propose, Dieu dispose",9
man shall not live by bread alone,L’homme ne vit pas seulement de pain,10
"man thinks, god laughs","L’homme propose, Dieu dispose",8
manners maketh man,L’habit ne fait pas le moine,5
many a little makes a mickle,Les petits ruisseaux font les grandes rivières,10
many a mickle makes a muckle,Les petits ruisseaux font les grandes rivières,10
many a true word is spoken in jest,La vérité sort de la bouche des enfants,6
many hands make light work,L’union fait la force,9
march comes in like a lion and goes out like a lamb,"Mars, qui rit malgré les averses, prépare en secret le printemps",4
marriages are made in heaven,Les mariages se font au ciel,8
"marry in haste, repent at leisure",Qui se marie à la hâte se repent à loisir,9
measure twice and cut once,Il faut tourner sept fois sa langue dans sa bouche avant de parler,6
"measure twice, cut once",Il faut tourner sept fois sa langue dans sa bouche avant de parler,6
men are blind in their own cause,On ne voit pas ses propres défauts,7
mess with the bull and you get the horns,Qui s’y frotte s’y pique,9
"mess with the bull, get the horns",Qui s’y frotte s’y pique,9
might is right,La raison du plus fort est toujours la meilleure,10
might makes right,La raison du plus fort est toujours la meilleure,10
mighty oaks from little acorns grow,Les petits ruisseaux font les grandes rivières,9
misery enjoys company,Le malheur aime la compagnie,9
misery loves company,Le malheur aime la compagnie,10
misfortunes never come alone,Un malheur n’arrive jamais seul,10
misfortunes never come singly,Un malheur n’arrive jamais seul,10
moderation in all things,La vertu est dans la mesure,8
money can't buy happiness,L’argent ne fait pas le bonheur,10
money cannot buy happiness,L’argent ne fait pas le bonheur,10
"money demands care, you abuse it and it disappears",Les petits ruisseaux font les grandes rivières,4
money does not grow on trees,L’argent ne tombe pas du ciel,10
money does not smell,L’argent n’a pas d’odeur,10
money does not stink,L’argent n’a pas d’odeur,10
money doesn't grow on trees,L’argent ne tombe pas du ciel,10
"money earned by deceit, goes by deceit",Bien mal acquis ne profite jamais,10
money has no smell,L’argent n’a pas d’odeur,10
money is not everything,L’argent ne fait pas tout,9
money is the root of all evil,L’argent est la racine de tous les maux,9
"money makes many things, but also makes devil dance",L’argent est un bon serviteur mais un mauvais maître,7
money makes the world go around,L’argent fait tourner le monde,9
money talks,L’argent ouvre toutes les portes,8
money talks and bullshit walks,"Avec de l’argent, on fait taire bien des scrupules",5
"money talks, bullshit walks","Avec de l’argent, on fait taire bien des scrupules",5
"more haste, less speed","Rien ne sert de courir, il faut partir à point",10
"move your feet, lose your seat",Qui va à la chasse perd sa place,10
mud sticks,Il n’y a pas de fumée sans feu,7
murder will out,Le meurtre sera découvert,3
music has charms to soothe the savage beast,La musique adoucit les mœurs,10
my enemy's enemy is my friend,L’ennemi de mon ennemi est mon ami,10
nature abhors a vacuum,La nature a horreur du vide,10
nature does not do anything in vain,La nature ne fait rien en vain,9
ne'er cast a clout till may be out,"En avril, ne te découvre pas d’un fil",10
nearly never won the race,Presque ne compte pas,6
necessity is the mother of innovation,"faute de grives, on mange des merles",7
necessity is the mother of invention,"faute de grives, on mange des merles",9
necessity knows no law,nécessité fait loi,10
needs must,il faut bien ce qu’il faut,7
needs must when the devil drives,nécessité fait loi,8
neither a borrower nor a lender be,les bons comptes font les bons amis,7
never ask the barber if you need a haircut,il ne faut pas demander au loup de garder les moutons,6
never cast a clout until may be out,"en avril, ne te découvre pas d’un fil",10
never change a running system,on ne change pas une équipe qui gagne,10
never give a sucker an even break,un bon pigeon ne se plume qu’une fois,5
never give advice unless asked,les conseilleurs ne sont pas les payeurs,6
never judge a book by its cover,l’habit ne fait pas le moine,10
never let the sun go down on your anger,il ne faut pas se coucher fâché,8
never let the truth get in the way of a good story,"quand la légende est plus belle que la réalité, imprime la légende",6
never look a gift horse in the mouth,à cheval donné on ne regarde pas les dents,10
never meet your heroes,il ne faut pas rencontrer ses idoles,4
never put off until tomorrow what you can do today,il ne faut pas remettre au lendemain ce qu’on peut faire le jour même,10
"never reveal a man's wage, and woman's age",il ne faut jamais demander l’âge d’une femme,5
never say die,"tant qu’il y a de la vie, il y a de l’espoir",9
never say never,"il ne faut jamais dire fontaine, je ne boirai pas de ton eau",10
never speak ill of the dead,on ne parle pas des morts en mal,6
never tell tales out of school,il ne faut pas laver son linge sale en public,6
never too old to learn,il n’est jamais trop tard pour apprendre,9
new brooms sweep clean,"tout nouveau, tout beau",7
nice guys finish last,"trop bon, trop con",9
"no bucks, no buck rogers","pas d’argent, pas de sucré",4
no gain without pain,on n’a rien sans rien,9
no good deed ever goes unpunished,"trop bon, trop con",6
no good deed goes unpunished,"trop bon, trop con",6
"no guts, no glory",qui ne risque rien n’a rien,10
no man can serve two masters,on ne peut servir deux maîtres à la fois,9
no man is an island,nul ne vit pour soi-même,5
"no matter how much milk you put in coffee, it's still coffee","chassez le naturel, il revient au galop",8
"no matter how much milk you put in tea, it's still tea","chassez le naturel, il revient au galop",8
