en,fa,confidence
fine feathers make fine birds,خلعت شاهی به تن دزد قشون هم زیباست,6
fine words butter no parsnips,با حلوا حلوا گفتن دهان شیرین نمی‌شود,10
first catch your hare,جوجه را آخر پاییز می‌شمارند,5
"first come, first served",زودتر رسید، زودتر برداشت,6
first impressions are the most lasting,سنگ اول چون نهد معمار کج، تا ثریا می‌رود دیوار کج,6
first things first,کار امروز را به فردا مینداز,5
fish always rots from the head downwards,ماهی از سر گنده گردد نی ز دم,10
fish and company stink after three days,مهمان اگر سه روز شد، یا باید برود یا بماند,4
fish and guests smell after three days,مهمان اگر سه روز شد، یا باید برود یا بماند,4
flattery will get you nowhere,چاپلوسی به جایی نمی‌رسد,6
"fool me once, shame on you; fool me twice, shame on me",مار گزیده از ریسمان سیاه و سفید می‌ترسد,7
fools rush in,عجله کار شیطان است,8
fools rush in where angels fear to tread,عجله کار شیطان است,8
for want of a nail the shoe was lost; for want of a shoe the horse was lost; and for want of a horse the man was lost,یک سوزن به خودت بزن، بعد یک جوالدوز به دیگران,3
forbidden fruit is the sweetest,مرغ همسایه غاز است,7
forewarned is forearmed,مواظب باش، کار از محکم‌کاری عیب نمی‌کند,6
"forewarned, forearmed",کار از محکم‌کاری عیب نمی‌کند,7
fortune favors the bold,شجاعت نصف خوشبختی است,5
fortune favors the brave,شجاعت نصف خوشبختی است,5
fortune favors the daring,شجاعت نصف خوشبختیه,7
fortune favours the bold,شجاعت نصف خوشبختیه,8
fortune favours the bold/brave,شجاعت نصف خوشبختیه,8
fortune favours the brave,شجاعت نصف خوشبختیه,8
fortune favours the daring,شجاعت نصف خوشبختیه,7
free is for me,مجانی باشه، سنگ هم می‌خورن,7
freedom ain't free,آزادی بها دارد,8
freedom is not free,آزادی بها دارد,8
freedom isn't free,آزادی بها دارد,8
freedom's not free,آزادی بها دارد,8
from the sublime to the ridiculous,از عرش به فرش رسیدن,6
"garbage in, garbage out",از کوزه همان برون تراود که در اوست,9
"genius is one percent inspiration, ninety-nine percent perspiration",نابرده رنج گنج میسر نمی‌شود,7
give a dog a bad name and hang him,گرگ را بهانه است,6
give a man a fish and you feed him for a day. teach a man to fish and you feed him for a lifetime,به جای ماهی دادن، ماهیگیری یاد بده,7
give a man a fish and you feed him for a day; teach a man to fish and you feed him for a lifetime,به جای ماهی دادن، ماهیگیری یاد بده,7
give a man rope enough and he will hang himself,چاه مکن بهر کسی، اول خودت دوم کسی,6
give credit where credit is due,حق را به حق‌دار باید داد,9
give him an inch and he will take a mile,انگشت بدهی، دستت را می‌کَند,9
give someone an inch and someone will take a mile,انگشت بدهی، دستت را می‌کَند,9
give someone enough rope and they'll hang themself,چاه مکن بهر کسی، اول خودت دوم کسی,6
give the devil his/her due,حق را باید به حق‌دار داد، ولو دشمن باشد,7
give them an inch and they'll take a mile,انگشت بدهی، دستت را می‌کَند,9
give them an inch and they'll take an ell,انگشت بدهی، دستت را می‌کَند,9
"given enough eyeballs, all bugs are shallow",یک دست صدا ندارد,5
go hard or go home,یا رومی روم، یا زنگی زنگ,8
god doesn't give with both hands,خدا همه چیز را به یک نفر نمی‌دهد,8
god helps them that help themselves,از تو حرکت، از خدا برکت,10
god helps them who help themselves,از تو حرکت، از خدا برکت,10
god helps those who help themselves,از تو حرکت، از خدا برکت,10
god is in the detail,کار را که کرد، آن که تمام کرد,6
god works in mysterious ways,حکمت خدا را کسی نمی‌داند,7
gods may do what cattle may not,شاه را شاهی رواست,5
gold is where you find it,گنج را هر جا پیدا کنی همان‌جاست,5
good fences make good neighbors,حرمت‌ها که حفظ شود دوستی‌ها پایدار می‌ماند,6
good fences make good neighbours,حد و مرزها که رعایت شود همسایگی به دوستی می‌کشد,6
good talk saves the food,خوش‌زبانی نصف مهمانی است,7
good things come in small packages,فلفل نبین چه ریزه، بشکن ببین چه تیزه,9
good things come to those who wait,گر صبر کنی ز غوره حلوا سازی,10
good wine needs no bush,عطر آن است که خود ببوید نه آن‌که عطار بگوید,10
"good work ain't cheap, cheap work ain't good",هر چی پول بدی همون‌قدر آش می‌خوری,9
"grasp all, lose all",طمع کار دست آدم را می‌دهد,7
great haste makes great waste,کار امروز را به عجله خراب نکن,4
great minds think alike,عقل‌ها که یکی باشد حرف‌ها یکی می‌شود,7
great oaks from little acorns grow,قطره قطره جمع گردد وانگهی دریا شود,9
"hair today, gone tomorrow",مال دنیا امانت است، امروز هست فردا نیست,6
half a loaf is better than no bread,نیم نان بهتر از هیچ نان است,10
half a loaf is better than no loaf,نیم نان بهتر از هیچ نان است,10
half a loaf is better than none,نیم نان بهتر از هیچ نان است,10
handsome is as handsome does,آدم به عملش قشنگ می‌شود نه به قیافه‌اش,7
handsome is that handsome does,خوبی به کردار است نه به گفتار,8
"happy wife, happy life",زن شاد، زندگی آباد,6
hard work never did anyone any harm,کار کردن کسی را نکشته,8
haste makes waste,شتاب کار شیطان است,9
he laughs best that laughs last,خنده آخر خوب می‌خندد,8
"he that goes a-borrowing, goes a-sorrowing",قرض، غصه می‌آورد,7
"he that mischief hatches, mischief catches",هر که باد بکارد طوفان درو می‌کند,10
he who digs a pit for others falls in himself,چاه مکن بهر کسی، اول خودت دوم کسی,10
"he who fails to prepare, prepares to fail",بی‌گدار به آب زدن آخرش غرق شدن است,7
he who hesitates is lost,کار امروز را به فردا میفکن,7
he who knows does not speak. he who speaks does not know,آن‌که داند، داند که داند؛ آن‌که نداند، نداند که نداند,6
he who laughs last laughs best,خنده آخر خوب می‌خندد,10
he who laughs last laughs hardest,خنده آخر خوب می‌خندد,9
he who laughs last laughs longest,خنده آخر خوب می‌خندد,9
"he who lives by the sword, dies by the sword",هر که با شمشیر زندگی کند با شمشیر هم می‌میرد,8
he who pays the piper calls the tune,حرف، حرفِ صاحب‌پوله,8
he who sups with the devil should have a long spoon,با دیو رفیق شدی، کلاهت را سفت بچسب,6
health is wealth,سلامتی نعمت است,9
health is your first wealth,سلامتی بزرگ‌ترین سرمایه است,9
heaven helps those that help themselves,از تو حرکت، از خدا برکت,10
heaven helps those who help themselves,از تو حرکت، از خدا برکت,10
hell has no fury like a woman scorned,از خشم زن جهنم کم می‌آورد,5
hell hath no fury like a woman scorned,از خشم زن جهنم کم می‌آورد,5
"hell hath no fury like a woman scorned; heav'n has no rage, like love to hatred turn'd, nor hell a fury, like a woman scorn'd",از خشم زن جهنم کم می‌آورد,5
"hell is full of good meanings, but heaven is full of good works",به عمل کار برآید، به سخن‌دانی نیست,10
hindsight is 20/20,بعد از جنگ، همه سردارند,8
hindsight is always twenty-twenty,بعد از جنگ، همه سردارند,8
history is written by the victors,تاریخ را همیشه فاتحان می‌نویسند,7
history repeats itself,تاریخ تکرار می‌شود,7
home is where the heart is,هر جا دلت خوشه همون‌جاست وطنته,7
honesty is the best policy,راست بگو، راحت بخواب,9
honey catches more flies than vinegar,با نرمی می‌شود از سنگ هم آب کشید,7
"hope for the best, and prepare for the worst",امید به خیر داشته باش، خودت را برای شر آماده کن,6
"hope for the best, prepare for the worst",امید به خیر داشته باش، خودت را برای شر آماده کن,6
hope springs eternal,انسان به امید زنده است,10
hope springs eternal in the human breast,انسان به امید زنده است,10
horses for courses,هر کسی را بهر کاری ساختند,9
how you get them is how you lose them,از هر راهی بیاید از همان راه هم می‌رود,6
hunger is a good sauce,گرسنگی، نان خشک را هم لذیذ می‌کند,7
hunger is the best pickle,گرسنگی، نان خشک را هم لذیذ می‌کند,7
hunger is the best sauce,گرسنگی، نان خشک را هم لذیذ می‌کند,8
hunger is the best seasoning,گرسنگی، نان خشک را هم لذیذ می‌کند,8
hunger is the best spice,گرسنگی، نان خشک را هم لذیذ می‌کند,8
hurt people hurt people,از ماست که بر ماست,6
i want doesn't get,خواهی نشود، کُنش,5
idle hands are the devil's playthings,بیکاری مادرِ فساد است,9
idle hands are the devil's tools,بیکاری مادرِ فساد است,9
idle hands are the devil's workshop,بیکاری مادرِ فساد است,9
idle hands make work for the devil,بیکاری مادرِ فساد است,9
"if a job is worth doing, it is worth doing well",کاری را که می‌کنی، درست انجام بده,7
"if all you have is a hammer, everything looks like a nail",کسی که فقط چکش دارد، همه‌چیز را میخ می‌بیند,5
"if all you've got is a hammer, everything looks like a nail",کسی که فقط چکش دارد، همه‌چیز را میخ می‌بیند,5
"if anything can go wrong, it will",قانون مورفی,6
"if at first you do not succeed, try, try again",گر صبر کنی ز غوره حلوا سازی,7
if at first you don't succeed,گر صبر کنی ز غوره حلوا سازی,6
"if at first you don't succeed, try try again",گر صبر کنی ز غوره حلوا سازی,7
"if god had meant us to fly, he would have given us wings",هر چیزی را بهر کاری ساختند,6
"if ifs and ands were pots and pans, there would be no work for tinkers",اگر اگر شود، نان و حلوا می‌شود,6
"if ifs and buts were candies and nuts, we'd all have a merry christmas",اگر اگر شود، نان و حلوا می‌شود,6
"if ifs and buts were candy and nuts, we'd all have a merry christmas",اگر اگر شود، نان و حلوا می‌شود,6
"if it ain't broke, don't fix it",چیزی را که خراب نیست، دست نزن,7
"if it ain't busted, don't fix it",چیزی را که خراب نیست، دست نزن,7
"if it looks like a duck, swims like a duck, and quacks like a duck, then it probably is a duck",از کوزه همان برون تراود که در اوست,8
"if it looks like a duck, swims like a duck, and quacks like a duck, then it's probably a duck",از کوزه همان برون تراود که در اوست,8
"if it were a snake, it would have bit you",زیر دماغت را نمی‌بینی,6
if it were not for hope the heart would break,امید، چراغِ زندگی است,6
if pigs had wings they would fly,اگرِ غیرممکن فایده ندارد,5
"if the mountain will not come to mohammed, then mohammed must go to the mountain",اگر کوه به سر پیامبر نیاید، پیامبر به سر کوه می‌رود,8
if the mountain won't come to mohammed,اگر کوه به سر پیامبر نیاید، پیامبر به سر کوه می‌رود,8
if the mountain won't come to muhammad,اگر کوه به سر پیامبر نیاید، پیامبر به سر کوه می‌رود,8
"if the mountain won't come to muhammad, then muhammad must go to the mountain",اگر کوه به سر پیامبر نیاید، پیامبر به سر کوه می‌رود,8
"if the shoe fits, wear it",اگر کلاه به سرت می‌خورد، سرت را بگیر,6
"if we had ham we could have ham and eggs, if we had eggs",اگر اگر شود، نان و حلوا می‌شود,6
"if we had some ham we could have some ham and eggs, if we had some eggs",اگر اگر شود، نان و حلوا می‌شود,6
"if wealth is lost, nothing is lost. if health is lost, something is lost. if character is lost, everything is lost",مال می‌رود، جان می‌رود، نام نرود,7
"if wishes were horses, beggars might ride",حرف مفت است و باد هوا,6
"if wishes were horses, beggars would ride",حرف مفت است و باد هوا,6
"if you aim at nothing, you'll hit it every time",بی‌هدف بروی، به جایی نمی‌رسی,5
"if you believe everything you read, better not to read",هر چه را شنیدی باور نکن,6
"if you build it, they will come",خودت را قوی کن، کار خودش می‌آید,3
"if you can't be good, be careful",اگر عاقل نیستی لااقل محتاط باش,4
"if you can't beat them, join them",نتوانستی شکستشان بدهی، باهاشان یکی شو,7
"if you can't do the time, don't do the crime",گناهش را می‌کنی، جزایش را هم باید بکشی,7
"if you can't lick them, join them",نتوانستی شکستشان بدهی، باهاشان یکی شو,8
"if you can't stand the heat, get out of the kitchen",گرمای تنور را تاب نمی‌آوری، نانوا نشو,6
"if you find yourself in a hole, the first thing to do is stop digging",وقتی توی چاه افتادی، دیگر کندن را ادامه نده,4
"if you fly with the crows, you get shot with the crows",با هر که نشینی، همان شوی,9
"if you give a mouse a cookie, he'll always ask for a glass of milk",به گدا رو بدهی، صاحب‌خانه می‌شود,8
"if you lie down with dogs, you get up with fleas",با سگ بخوابی، با کَک بیدار می‌شوی,9
"if you lie down with dogs, you will get up with fleas",با سگ بخوابی، با کَک بیدار می‌شوی,9
if you lie with dogs you will get fleas,با سگ بخوابی، با کَک بیدار می‌شوی,9
"if you mess with the bull, you get the horns",با دم شیر بازی نکنی,7
"if you must dance with the devil, you might as well know his favorite song",وقتی با گرگ همسفر شدی، مثل او زوزه بکش,6
"if you pay bananas, you get monkeys",پولِ نخود بدهی، کار نخود هم تحویل می‌گیری,4
"if you pay peanuts, you get monkeys",هر چه پول بدهی همان‌قدر آش می‌خوری,8
"if you play with fire, you will get burned",با آتش بازی کنی، می‌سوزی,10
"if you think that you know everything, then you're a jack ass",هر که گفت دانستم، بدان که نادان است,7
"if you want a thing done well, do it yourself",کار را باید داد دست کاردان,6
"if you want peace, prepare for war",صلح را با قدرت نگه می‌دارند,5
"if you're growing in age, then you're nearing to the graveyard",هر که آمد، عاقبت رفتنی است,6
"if you've got it, flaunt it",دارا که شدی، خودت را نشان می‌دهی,3
ignorance is bliss,بی‌خبری خوش‌خبری است,10
ill doers are ill deemers,دزد همه را به کیش خود پندارد,10
ill news spreads apace,خبر بد زود می‌رسد,9
ill-gotten gains never prosper,مال حرام برکت ندارد,10
imitation is the sincerest form of flattery,ادایش را درآوردن یعنی دوستش داری,3
"in for a dime, in for a dollar",از این نمد کلاهی برای ما دوخته‌اند,3
"in for a penny, in for a pound",از این ستون به آن ستون فرج است,2
"in for an inch, in for a mile",یا علی گفتیم و علی برفت,4
"in the country of the blind, the one-eyed man is king",در شهر کورها یک چشم شاه است,10
"in the kingdom of the blind, the one eyed man is king",در شهر کورها یک چشم شاه است,10
"in the land of the blind, the one-eyed man is king",در شهر کورها یک چشم شاه است,10
"in the valley of the blind, the one-eyed man is king",در شهر کورها یک چشم شاه است,10
"in unity, there is strength",اتحاد قدرت است,8
in vino veritas,مستی و راستی,9
"in wine, there is truth",مستی و راستی,9
into every life a little rain must fall,بی‌غصه تا بوده دنیا نبوده,8
it ain't over 'til the fat lady sings,تا تهش را نخواندی نمی‌توانی حکم بدهی,4
it ain't over till it's over,تا تهش را نخواندی نمی‌توانی حکم بدهی,4
it ain't over till the fat lady sings,تا تهش را نخواندی نمی‌توانی حکم بدهی,4
it ain't over till/until it's over,تا تهش را نخواندی نمی‌توانی حکم بدهی,4
it ain't over until the fat lady sings,تا تهش را نخواندی نمی‌توانی حکم بدهی,4
it ain't what you don't know that gets you into trouble. it's what you know for sure that just ain't so,نیم‌دانستن از نادانستن بدتر است,6
it goes without saying,گفتن ندارد,10
it is a small world,دنیا چقدر کوچک است,9
it is all grist to the mill,همه‌چیز به نفع او تمام می‌شود,4
it is always darkest before the dawn,سحر نزدیک است,6
it is always darkest just before the dawn,سحر نزدیک است,6
it is an ill wind,باد بی‌فایده نمی‌وزد,3
it is best to be on the safe side,احتیاط شرط عقل است,10
it is better to be smarter than you appear than to appear smarter than you are,کم پیدا شو، زیاد پیدا نشو,4
it is better to give than to receive,دست بالا دست پایین را می‌بخشد,7
it is better to light a candle than curse the darkness,به جای لعنت به تاریکی، شمعی روشن کن,10
it is darkest before the dawn,سحر نزدیک است,6
it is darkest just before the dawn,سحر نزدیک است,6
it is easy to be wise after the event,بعد از جنگ، قهرمان زیاد می‌شود,9
it is easy to find a stick to beat a dog,چوب را که برداری گربه دزد را می‌گیرد,5
it is never too late,ماهی را هر وقت از آب بگیری تازه است,10
it is no use crying over spilt milk,آبِ رفته به جوی بازنمی‌گردد,10
it is no use locking the stable door after the horse has bolted,جلوی ضرر را از هر جا بگیری منفعت است,6
"it is not enough to learn how to ride, you must also learn how to fall",سوارکاری را با زمین خوردنش می‌سنجند,4
it is not the whistle that pulls the train,سگ پارس می‌کند، کاروان می‌گذرد,3
it is the early bird that gets the worm,سحرخیز باش تا کامروا شوی,10
it is the empty can that makes the most noise,دیگِ خالی صداش بیشتره,10
it is the last straw that breaks the camel's back,قطره‌قطره جمع گردد وانگهی دریا شود,3
it is the squeaky wheel that gets the grease,گریهٔ بچه به نانش می‌رسونه,7
it is what it is,همینه که هست,10
it isn't over 'til the fat lady sings,تا ته قصه را نخوانده‌ای قضاوت نکن,4
it isn't over till the fat lady sings,تا ته قصه را نخوانده‌ای قضاوت نکن,4
it isn't over until the fat lady sings,تا ته قصه را نخوانده‌ای قضاوت نکن,4
it isn't the whistle that pulls the train,سگ پارس می‌کند، کاروان می‌گذرد,3
it needs a hundred lies to cover a single lie,دروغ، دروغ می‌آورد,9
it never rains but it pours,بدبیاری پشتِ بدبیاری می‌آید,5
it never rains but that it pours,بدبیاری پشتِ بدبیاری می‌آید,5
it takes a heap o' livin' to make a house a home,خانه با محبت، خانه می‌شود نه با آجر و سنگ,6
it takes a heap of living to make a house a home,خانه با محبت، خانه می‌شود نه با آجر و سنگ,6
it takes a lot of living to make a house a home,خانه با محبت، خانه می‌شود نه با آجر و سنگ,6
it takes a thief to catch a thief,دزد را دزد می‌شناسد,10
it takes a village,یک دست صدا ندارد,6
it takes a village to raise a child,بچه را همه باید بزرگ کنند,7
it takes a whole village to raise a child,بچه را همه باید بزرگ کنند,7
it takes all kinds,آدمیزاد هفتاد و دو ملت است,7
it takes all kinds to make a world,دنیا با آدم‌های جورواجور می‌چرخد,6
it takes all sorts,آدمیزاد هفتاد و دو ملت است,7
it takes all sorts to make a world,دنیا با آدم‌های جورواجور می‌چرخد,6
it takes one to know one,جنس خودش او را می‌شناسد,6
it takes two to make a quarrel,دعوا که دو تا شد، یکی مقصر است یکی مقروض,3
it takes two to quarrel,یک دست صدا ندارد,5
it takes two to tango,یک دست صدا ندارد,10
it will be the same a hundred years hence,صد سالِ دیگر نه من باشم و نه تو,4
it will come back and haunt you,دنیا دار مکافات است,9
it's a long road that has no turning,هیچ بادی همیشه در یک جهت نمی‌وزد,4
it's a man's world,دنیا دستِ مردهاست,6
"it's a tough job, but someone's got to do it",یکی باید دل به دریا بزند,6
it's all fun and games until someone loses an eye,تا سر به سنگ نخورد آدم عاقل نمی‌شود,5
it's an ill bird that fouls its own nest,هیچ‌کس به مال خود سنگ نمی‌زند,7
it's an ill wind that blows no good,عدو شود سبب خیر اگر خدا خواهد,9
it's an ill wind that blows no one any good,عدو شود سبب خیر اگر خدا خواهد,9
it's an ill wind that blows nobody any good,عدو شود سبب خیر اگر خدا خواهد,9
it's an ill wind that blows nobody good,عدو شود سبب خیر اگر خدا خواهد,9
it's greek to me,برای من مثل چینی حرف زدن است,8
it's lonely at the top,بالا رفتن آسان است، ماندن سخت است,5
it's never too late to mend,ماهی را هر وقت از آب بگیری تازه است,10
it's not over 'til the fat lady sings,تا ته قصه را نخوانده‌ای نگو تمام شد,5
it's not over till the fat lady sings,تا ته قصه را نخوانده‌ای نگو تمام شد,5
it's not over until the fat lady sings,تا ته قصه را نخوانده‌ای نگو تمام شد,5
it's not what you know but who you know,آشنا داشته باش، کار راه می‌افتد,8
it's not what you know but whom you know,آشنا داشته باش، کار راه می‌افتد,8
it's not what you say but how you say it,حرف را باید بلد باشی چطور بزنی,7
it's the hit dog that howls,دزد همیشه از سایه خودش می‌ترسد,6
it's the little things,کار را که کرد؟ آن‌که تمام کرد,4
it's the thought that counts,مهم نیت است,10
"jack of all trades, master of none/one/some",همه‌کاره و هیچ‌کاره,9
"judge not, lest ye be judged",چاه مکن بهر کسی، اول خودت دوم کسی,6
"judge not, that ye be not judged",چاه مکن بهر کسی، اول خودت دوم کسی,6
"judge not, that you be not judged",چاه مکن بهر کسی، اول خودت دوم کسی,6
justice delayed is justice denied,عدالت اگر دیر برسد بی‌عدالتی است,7
justice is blind,عدالت کور است,6
karma is a bitch,دنیا دار مکافات است,10
karma's a bitch,دنیا دار مکافات است,10
keep your chin up,سرت را بالا بگیر,8
keep your friends close and your enemies closer,دشمنت را نزدیک خودت نگه دار,7
"keep your friends close, and your enemies closer",دشمنت را نزدیک خودت نگه دار,7
keep your powder dry,همیشه آماده باش,6
kids will be kids,بچه است، ازش برمی‌آید,9
kill the chicken to scare the monkey,چند نفر را شلاق می‌زنند تا بقیه حساب کار دستشان بیاید,7
kill the goose that lays the golden egg,طناب را آن‌قدر می‌کِشند تا پاره شود,6
kill two birds with one stone,با یک تیر دو نشان زدن,10
kindness in words creates confidence. kindness in thinking creates profoundness. kindness in giving creates love,مهربانی، مهربانی می‌آورد,6
kissing goes by favor,هر که را بیشتر دوست دارند، بیشتر نازش را می‌کشند,5
knock on (or touch) wood,بزنم به تخته,10
know thyself,خودت را بشناس,8
know which side (one's) bread is buttered,می‌داند نانش را کجا باید بخورد,6
knowledge is power,دانایی توانایی است,10
"knowledge is power, guard it well",دانایی توانایی است، قدرش را بدان,6
laugh and grow fat,خنده بر هر درد بی‌درمان دواست,7
"laugh and the world laughs with you, weep and you weep alone",همه با شادی‌ات شریک‌اند، با غمت نه,5
"laugh before breakfast, cry before supper",هر که بی‌جا بخندد، بی‌جا هم گریه می‌کند,5
laughter is the best medicine,خنده بر هر درد بی‌درمان دواست,10
"learn a language, and you will avoid a war",یک زبان بیشتر، یک انسان بیشتر,7
"least said, soonest mended",کم‌گفتن و گزیده‌گفتن,6
leave with the one that brought ya,با هم آمدید، با هم هم بروید,5
leave with the one that brung ya,با هم آمدید، با هم هم بروید,5
leave with the one that brung you,با هم آمدید، با هم هم بروید,5
leave with the one what brought ya,با هم آمدید، با هم هم بروید,5
leave with the one what brought you,با هم آمدید، با هم هم بروید,5
leave with the one what brung ya,با هم آمدید، با هم هم بروید,5
leave with the one what brung you,با هم آمدید، با هم هم بروید,5
leave with the one who brought ya,با هم آمدید، با هم هم بروید,5
leave with the one who brought you,با هم آمدید، با هم هم بروید,5
leave with the one who brung ya,با هم آمدید، با هم هم بروید,5
leave with the one who brung you,با هم آمدید، با هم هم بروید,5
less is more,کم، اما به‌جا,6
let a thousand flowers bloom,بگذار هر کس ساز خودش را بزند,4
let bygones be bygones,گذشته‌ها گذشته,10
let not the sun go down on your wrath,کینه را شب با خودت به رختخواب نبر,5
let sleeping dogs lie,گذاشته را دست نزن,6
let the buyer beware,مشتری باید حواسش جمع باشد,6
let the cat out of the bag,راز را فاش کردن,7
let the cobbler stick to his last,کفاش باید به کار خودش برسد,5
let the dead bury the dead,مرده را باید به دست مرده‌ شور سپرد,6
let the punishment fit the crime,کیفر باید در خور گناه باشد,7
let well alone,کاری را که خوب پیش می‌رود دست‌کاری نکن,5
let your hair down,یه کم خودتو ول کن و خوش بگذرون,6
life begins at forty,چهل سالگی تازه اول زندگیه,8
life is like a box of chocolates,زندگی مثل جعبهٔ شیرینیه، نمی‌دونی قراره چی نصیبت بشه,6
life is not all beer and skittles,زندگی که همه‌اش عیش و نوش نیست,9
life is too short not to do something that matters,عمر کوتاهه، باید کاری کرد که می‌مونه,7
life is what you make it,زندگی همون‌جوری می‌شه که خودت می‌سازی,9
life's a bitch and then you die,دنیا نامرده، آخرش هم مرگه,6
"life's a bitch, and then you die",دنیا نامرده، آخرش هم مرگه,6
lightning does not strike twice in the same place,صاعقه دوبار به یک جا نمی‌خوره,8
lightning doesn't strike twice in the same place,صاعقه دوبار به یک جا نمی‌خوره,8
lightning never strikes the same place twice,صاعقه دوبار به یک جا نمی‌خوره,8
lightning never strikes twice,صاعقه دوبار به یک جا نمی‌خوره,8
lightning never strikes twice in the same place,صاعقه دوبار به یک جا نمی‌خوره,8
like father like son,پسر کو ندارد نشان از پدر,10
"like father, like son",پسر کو ندارد نشان از پدر,10
"like mother, like daughter",دختر کو ندارد نشان از مادر,9
little pitchers have big ears,بچه‌ها گوش شنوا دارن,5
little pitchers have long ears,بچه‌ها گوش شنوا دارن,5
little strokes fell great oaks,قطره قطره جمع گردد وانگهی دریا شود,9
little things please little minds,آدم کوچیک به چیزای کوچیک خوشه,6
live and let live,خودت زندگی کن، بذار بقیه هم زندگی کنن,8
"live by the sword, die by the sword",هر که با شمشیر زندگی کند با شمشیر هم می‌میرد,8
live each day as if it were your last and one day you will surely be right,جوری زندگی کن که انگار امروز آخرین روزته,7
"live fast, die young",تند بسوز و زود بساز,5
"live for today, for tomorrow never comes",امروز را دریاب، فردا معلوم نیست,8
"live not to eat, but eat to live",برای زندگی کردن بخور، نه برای خوردن زندگی کن,9
live to fight another day,زنده بمان تا روزی دیگر بجنگی,6
"location, location, location",مهم جاست، جا، جا,4
"long absent, soon forgotten",از دل برود هر آن‌که از دیده برفت,10
look before you leap,اول فکر کن بعد عمل,9
lookers-on see most of the game,تماشاگر از بیرون بهتر می‌بیند,6
looks can be deceiving,از روی ظاهر نمی‌شه قضاوت کرد,9
loose lips sink ships,زبان سرخ سر سبز می‌دهد بر باد,10
might makes right,حق با کسی است که زورش بیشتر است,8
mighty oaks from little acorns grow,قطره قطره جمع گردد وانگهی دریا شود,9
misery enjoys company,آدم غمگین دنبال هم‌درد می‌گردد,6
misery loves company,آدم غمگین دنبال هم‌درد می‌گردد,7
misfortunes never come alone,بدبختی دوتا دوتا می‌آید,8
misfortunes never come singly,بدبختی دوتا دوتا می‌آید,8
moderation in all things,افراط و تفریط هر دو بد است,9
money can't buy happiness,پول خوشبختی نمی‌آورد,10
money cannot buy happiness,پول خوشبختی نمی‌آورد,10
"money demands care, you abuse it and it disappears",پول مثل آهوست، اگر نپایی می‌پرد,6
money does not grow on trees,پول علف خرس نیست,10
money does not smell,پول بوی بد نمی‌دهد,6
money does not stink,پول بوی بد نمی‌دهد,6
money doesn't grow on trees,پول علف خرس نیست,10
"money earned by deceit, goes by deceit",مال حرام برکت ندارد,9
money has no smell,پول بوی بد نمی‌دهد,6
money is not everything,پول همه‌چیز نیست,10
money is the root of all evil,پول ریشهٔ همهٔ بدی‌هاست,8
"money makes many things, but also makes devil dance",پول که باشد، شیطان هم سجده می‌کند,5
money makes the world go around,پول دنیاست که می‌چرخد,6
money talks,پول حرف اول را می‌زند,8
money talks and bullshit walks,حرف را پول می‌زند,7
"money talks, bullshit walks",حرف را پول می‌زند,7
"more haste, less speed",کار را که کرد، آن‌که آهسته کرد,9
"move your feet, lose your seat",جا خالی کنی، جات را می‌گیرند,7
mud sticks,تهمت می‌ماند,6
murder will out,قتل پنهان نمی‌ماند,7
my enemy's enemy is my friend,دشمنِ دشمنم دوست من است,9
ne'er cast a clout till may be out,تا اردیبهشت رد نشده، لباس گرم را کنار نگذار,4
nearly never won the race,کار ناتمام به جایی نمی‌رسد,5
necessity is the mother of innovation,احتیاج مادر اختراع است,10
necessity is the mother of invention,احتیاج مادر اختراع است,10
necessity knows no law,گرسنگی دین و ایمان نمی‌شناسد,7
needs must,مجبور که باشی، چاره‌ساز می‌شوی,6
needs must when the devil drives,آدم مجبور، سنگ را هم می‌خورد,7
neither a borrower nor a lender be,نه قرض بده، نه قرض بگیر، راحت زندگی کن,6
never ask the barber if you need a haircut,از دکان‌دار نپرس جنس خوب چیه,7
never cast a clout until may be out,تا اردیبهشت رد نشده، لباس گرم را کنار نگذار,5
never change a running system,چیزی که خوب کار می‌کند دست نزن,6
never give advice unless asked,تا نپرسیدن، نصیحت نکن,6
never judge a book by its cover,آدم را از روی ظاهرش قضاوت نکن,9
never let the sun go down on your anger,قهر را به شب نرسان,7
never look a gift horse in the mouth,دندون اسب پیش‌کشی را نمی‌شمارند,10
never put off until tomorrow what you can do today,کار امروز را به فردا مینداز,10
never say die,تا نفس هست امید هست,8
never say never,هیچ‌وقت نگو هیچ‌وقت,10
never speak ill of the dead,از مرده بد نگن,9
never tell tales out of school,راز خانه را بیرون نبر,7
never too old to learn,ز گهواره تا گور دانش بجوی,10
new brooms sweep clean,جارو نو خوب جارو می‌کند,8
nice guys finish last,آدم خیلی خوب همیشه بازنده است,5
no gain without pain,نابرده رنج گنج میسر نمی‌شود,10
no good deed ever goes unpunished,کار خیر بی‌جزا نمی‌ماند,4
no good deed goes unpunished,کار خیر بی‌جزا نمی‌ماند,4
"no guts, no glory",دل به دریا نزنی به ساحل نمی‌رسی,8
no man can serve two masters,یک دل دو خدا نمی‌شناسد,9
no man is an island,آدم بی‌کس به کار نمی‌آید,4
"no matter how much milk you put in coffee, it's still coffee",ذات نایافته از هستی‌بخش کی تواند که شود هستی‌بخش,7
"no matter how much milk you put in tea, it's still tea",ذات نایافته از هستی‌بخش کی تواند که شود هستی‌بخش,7
"no matter how thin you slice it, it's still baloney",آش همان آش است و کاسه همان کاسه,9
