en,de,confidence
failing to plan is planning to fail,"Wer nicht plant, plant sein Scheitern",5
failure is the best teacher,Aus Fehlern wird man klug,10
failure to prepare is preparing to fail,Vorbereitung ist die halbe Miete,7
faint heart never won fair lady,"Wer nicht wagt, der nicht gewinnt",9
fair exchange is no robbery,Gegengeschäfte sind kein Diebstahl,3
faith can move mountains,Glaube versetzt Berge,10
faith will move mountains,Glaube versetzt Berge,10
fake it till you make it,"Tu so, als ob, bis es klappt",4
"fall seven times, stand up eight","Hinfallen ist keine Schande, nur Liegenbleiben",8
false friends are worse than open enemies,Falsche Freunde sind schlimmer als offene Feinde,6
familiarity breeds contempt,Vertrautheit bringt Verachtung,4
fas est et ab hoste doceri,Auch vom Feind kann man lernen,8
fight fire with fire,Gleiches mit Gleichem vergelten,8
finders keepers,Finderlohn ist Ehrensache,2
"finders, keepers",Finderlohn ist Ehrensache,2
fine feathers make fine birds,Kleider machen Leute,10
fine words butter no parsnips,Von schönen Worten wird man nicht satt,8
first catch your hare,Man soll den Tag nicht vor dem Abend loben,6
"first come, first served","Wer zuerst kommt, mahlt zuerst",10
first impressions are the most lasting,Der erste Eindruck zählt,10
first things first,Das Wichtigste zuerst,8
fish always rots from the head downwards,Der Fisch stinkt vom Kopf her,10
fish and company stink after three days,Fisch und Gäste stinken nach drei Tagen,10
fish and guests smell after three days,Fisch und Gäste stinken nach drei Tagen,10
flattery will get you nowhere,Mit Schleimen kommt man nicht weit,7
"fool me once, shame on you; fool me twice, shame on me",Aus Schaden wird man klug,7
fools rush in,Narren stürzen sich kopflos ins Verderben,3
fools rush in where angels fear to tread,Narren stürzen sich kopflos ins Verderben,4
for want of a nail the shoe was lost; for want of a shoe the horse was lost; and for want of a horse the man was lost,"Wer den Pfennig nicht ehrt, ist des Talers nicht wert",4
forbidden fruit is the sweetest,Verbotene Früchte schmecken am besten,10
forewarned is forearmed,Vorsicht ist besser als Nachsicht,8
"forewarned, forearmed",Vorsicht ist besser als Nachsicht,8
fortune favors the bold,Das Glück ist mit den Mutigen,9
fortune favors the brave,Das Glück ist mit den Mutigen,9
fortune favors the daring,"Wer nicht wagt, der nicht gewinnt",10
fortune favours the bold,"Wer nicht wagt, der nicht gewinnt",10
fortune favours the bold/brave,"Wer nicht wagt, der nicht gewinnt",10
fortune favours the brave,"Wer nicht wagt, der nicht gewinnt",10
fortune favours the daring,"Wer nicht wagt, der nicht gewinnt",10
freedom ain't free,Freiheit hat ihren Preis,9
freedom is not free,Freiheit hat ihren Preis,9
freedom isn't free,Freiheit hat ihren Preis,9
freedom's not free,Freiheit hat ihren Preis,9
from the sublime to the ridiculous,Vom Erhabenen zum Lächerlichen ist nur ein Schritt,10
"garbage in, garbage out","Was hinten rauskommt, hängt davon ab, was vorne reinkommt",6
"genius is one percent inspiration, ninety-nine percent perspiration",Ohne Fleiß kein Preis,7
give a dog a bad name and hang him,"Hat man erst einen schlechten Ruf, lebt es sich ganz ungeniert",6
give a man a fish and you feed him for a day. teach a man to fish and you feed him for a lifetime,"Gib einem Hungernden keinen Fisch, sondern lehre ihn fischen",8
give a man a fish and you feed him for a day; teach a man to fish and you feed him for a lifetime,"Gib einem Hungernden keinen Fisch, sondern lehre ihn fischen",8
give a man rope enough and he will hang himself,"Gib ihm genug Seil, und er hängt sich selbst",7
give credit where credit is due,"Ehre, wem Ehre gebührt",10
give him an inch and he will take a mile,"Gib ihm den kleinen Finger, und er nimmt die ganze Hand",10
give someone an inch and someone will take a mile,"Gib jemandem den kleinen Finger, und er nimmt die ganze Hand",10
give someone enough rope and they'll hang themself,"Gib ihm genug Seil, und er hängt sich selbst",7
give the devil his/her due,"Man muss dem Teufel geben, was des Teufels ist",6
give them an inch and they'll take a mile,"Gib ihnen den kleinen Finger, und sie nehmen die ganze Hand",10
give them an inch and they'll take an ell,"Gib ihnen den kleinen Finger, und sie nehmen die ganze Hand",10
go hard or go home,Ganz oder gar nicht,8
god doesn't give with both hands,Niemand hat alles,6
god helps them that help themselves,"Hilf dir selbst, dann hilft dir Gott",10
god helps them who help themselves,"Hilf dir selbst, dann hilft dir Gott",10
god helps those who help themselves,"Hilf dir selbst, dann hilft dir Gott",10
god is in the detail,Der Teufel steckt im Detail,8
god works in mysterious ways,Gottes Wege sind unergründlich,10
gods may do what cattle may not,"Was dem Jupiter erlaubt ist, ist dem Ochsen nicht erlaubt",9
gold is where you find it,Gelegenheit macht Diebe,4
good fences make good neighbors,Gute Zäune machen gute Nachbarn,9
good fences make good neighbours,Gute Zäune machen gute Nachbarn,9
good things come in small packages,Kleine Geschenke erhalten die Freundschaft,4
good things come in threes,Aller guten Dinge sind drei,10
good things come to those who wait,Gut Ding will Weile haben,9
good wine needs no bush,Gute Ware lobt sich selbst,9
"good work ain't cheap, cheap work ain't good","Was nichts kostet, ist nichts wert",8
"grasp all, lose all","Wer alles will, bekommt am Ende nichts",7
great haste makes great waste,Eile mit Weile,9
great minds think alike,"Zwei Dumme, ein Gedanke",8
great oaks from little acorns grow,Aus kleinen Eicheln wachsen große Eichen,6
"hair today, gone tomorrow","Heute blond, morgen kahl",2
half a loaf is better than no bread,Besser den Spatz in der Hand als die Taube auf dem Dach,8
half a loaf is better than no loaf,Besser den Spatz in der Hand als die Taube auf dem Dach,8
half a loaf is better than none,Besser den Spatz in der Hand als die Taube auf dem Dach,8
handsome is as handsome does,Schönheit kommt von innen,7
handsome is that handsome does,Schönheit kommt von innen,7
"happy wife, happy life",Eine zufriedene Frau ist das halbe Leben,4
hard work never did anyone any harm,Arbeit hat noch niemandem geschadet,10
haste makes waste,Eile mit Weile,10
he laughs best that laughs last,"Wer zuletzt lacht, lacht am besten",10
"he that goes a-borrowing, goes a-sorrowing","Wer Schulden hat, ist nicht frei",6
"he that mischief hatches, mischief catches","Wer Wind sät, wird Sturm ernten",9
he who digs a pit for others falls in himself,"Wer anderen eine Grube gräbt, fällt selbst hinein",10
"he who fails to prepare, prepares to fail",Vorbereitung ist die halbe Miete,7
he who hesitates is lost,"Wer zu spät kommt, den bestraft das Leben",8
he who knows does not speak. he who speaks does not know,"Reden ist Silber, Schweigen ist Gold",6
he who laughs last laughs best,"Wer zuletzt lacht, lacht am besten",10
he who laughs last laughs hardest,"Wer zuletzt lacht, lacht am besten",9
he who laughs last laughs longest,"Wer zuletzt lacht, lacht am besten",9
"he who lives by the sword, dies by the sword","Wer mit dem Schwert lebt, wird durch das Schwert umkommen",9
he who pays the piper calls the tune,"Wer die Musik bestellt, bezahlt sie auch",8
he who sups with the devil should have a long spoon,"Wer mit dem Teufel isst, braucht einen langen Löffel",10
health is wealth,Gesundheit ist Reichtum,7
health is your first wealth,Gesundheit ist das höchste Gut,9
heaven helps those that help themselves,"Hilf dir selbst, dann hilft dir Gott",10
heaven helps those who help themselves,"Hilf dir selbst, dann hilft dir Gott",10
hell has no fury like a woman scorned,Hölle und Zorn sind nichts gegen eine verschmähte Frau,5
hell hath no fury like a woman scorned,Hölle und Zorn sind nichts gegen eine verschmähte Frau,5
"hell hath no fury like a woman scorned; heav'n has no rage, like love to hatred turn'd, nor hell a fury, like a woman scorn'd",Hölle und Zorn sind nichts gegen eine verschmähte Frau,4
"hell is full of good meanings, but heaven is full of good works",Der Weg zur Hölle ist mit guten Vorsätzen gepflastert,9
"hic rhodus, hic salta","Hier ist Rhodos, hier springe",10
hindsight is 20/20,Hinterher ist man immer schlauer,10
hindsight is always twenty-twenty,Hinterher ist man immer schlauer,10
history is written by the victors,Die Geschichte wird von den Siegern geschrieben,10
history repeats itself,Die Geschichte wiederholt sich,10
home is where the heart is,Daheim ist es am schönsten,7
home is where you hang your hat,"Wo ich meinen Hut hinhänge, da bin ich zu Hause",9
honesty is the best policy,Ehrlich währt am längsten,10
honey catches more flies than vinegar,Mit Honig fängt man mehr Fliegen als mit Essig,10
"hope for the best, and prepare for the worst","Hoffe das Beste, bereite dich auf das Schlimmste vor",7
"hope for the best, prepare for the worst","Hoffe das Beste, bereite dich auf das Schlimmste vor",7
hope springs eternal,Die Hoffnung stirbt zuletzt,10
hope springs eternal in the human breast,Die Hoffnung stirbt zuletzt,10
horses for courses,Jedem Tierchen sein Pläsierchen,6
hunger is a good sauce,Hunger ist der beste Koch,9
hunger is the best pickle,Hunger ist der beste Koch,9
hunger is the best sauce,Hunger ist der beste Koch,10
hunger is the best seasoning,Hunger ist der beste Koch,9
hunger is the best spice,Hunger ist der beste Koch,9
hurt people hurt people,"Wie man in den Wald hineinruft, so schallt es heraus",5
i want doesn't get,Wünschen kostet nichts,4
i'm going to have to give you the pink slip,Jemandem den Laufpass geben,3
idle hands are the devil's playthings,Müßiggang ist aller Laster Anfang,10
idle hands are the devil's tools,Müßiggang ist aller Laster Anfang,10
idle hands are the devil's workshop,Müßiggang ist aller Laster Anfang,10
idle hands make work for the devil,Müßiggang ist aller Laster Anfang,10
"if a job is worth doing, it is worth doing well","Was du tust, das tue ganz",8
"if all you have is a hammer, everything looks like a nail","Wer nur einen Hammer hat, für den ist jedes Problem ein Nagel",6
"if all you've got is a hammer, everything looks like a nail","Wer nur einen Hammer hat, für den ist jedes Problem ein Nagel",6
"if anything can go wrong, it will",Murphys Gesetz,9
"if at first you do not succeed, try, try again",Aller Anfang ist schwer,7
if at first you don't succeed,Aller Anfang ist schwer,6
"if at first you don't succeed, try try again",Aller Anfang ist schwer,7
"if god had meant us to fly, he would have given us wings","Wenn der liebe Gott gewollt hätte, dass wir fliegen, hätte er uns Flügel gegeben",8
"if ifs and ands were pots and pans, there would be no work for tinkers","Wenn das Wörtchen wenn nicht wär, wär mein Vater Millionär",9
"if ifs and buts were candies and nuts, we'd all have a merry christmas","Wenn das Wörtchen wenn nicht wär, wär mein Vater Millionär",9
"if ifs and buts were candy and nuts, we'd all have a merry christmas","Wenn das Wörtchen wenn nicht wär, wär mein Vater Millionär",9
"if it ain't broke, don't fix it",Never change a running system,9
"if it ain't busted, don't fix it",Never change a running system,9
"if it looks like a duck, swims like a duck, and quacks like a duck, then it probably is a duck","Wenn es aussieht wie eine Ente und quakt wie eine Ente, ist es wohl eine Ente",7
"if it looks like a duck, swims like a duck, and quacks like a duck, then it's probably a duck","Wenn es aussieht wie eine Ente und quakt wie eine Ente, ist es wohl eine Ente",7
"if it were a snake, it would have bit you","Was man nicht im Kopf hat, hat man in den Beinen",4
if it were not for hope the heart would break,Die Hoffnung stirbt zuletzt,10
if pigs had wings they would fly,Wenn Schweine fliegen könnten,8
"if the mountain will not come to mohammed, then mohammed must go to the mountain","Wenn der Berg nicht zum Propheten kommt, muss der Prophet zum Berg gehen",10
if the mountain won't come to mohammed,"Wenn der Berg nicht zum Propheten kommt, muss der Prophet zum Berg gehen",10
if the mountain won't come to muhammad,"Wenn der Berg nicht zum Propheten kommt, muss der Prophet zum Berg gehen",10
"if the mountain won't come to muhammad, then muhammad must go to the mountain","Wenn der Berg nicht zum Propheten kommt, muss der Prophet zum Berg gehen",10
"if the shoe fits, wear it",Getroffene Hunde bellen,7
"if we had ham we could have ham and eggs, if we had eggs","Wenn das Wörtchen wenn nicht wär, wär mein Vater Millionär",8
"if we had some ham we could have some ham and eggs, if we had some eggs","Wenn das Wörtchen wenn nicht wär, wär mein Vater Millionär",8
"if wealth is lost, nothing is lost. if health is lost, something is lost. if character is lost, everything is lost","Gesundheit ist nicht alles, aber ohne Gesundheit ist alles nichts",6
"if wishes were horses, beggars might ride","Wenn das Wörtchen wenn nicht wär, wär mein Vater Millionär",8
"if wishes were horses, beggars would ride","Wenn das Wörtchen wenn nicht wär, wär mein Vater Millionär",8
"if you aim at nothing, you'll hit it every time","Wer kein Ziel hat, kann auch keines erreichen",7
"if you can't be good, be careful",Vorsicht ist die Mutter der Porzellankiste,6
"if you can't beat them, join them","Wenn du sie nicht besiegen kannst, schließ dich ihnen an",10
"if you can't do the time, don't do the crime","Wer die Musik bestellt, muss sie auch bezahlen",6
"if you can't lick them, join them","Wenn du sie nicht besiegen kannst, schließ dich ihnen an",10
"if you can't stand the heat, get out of the kitchen","Wer den Kopf in den Honigtopf steckt, muss lecken",5
"if you find yourself in a hole, the first thing to do is stop digging","Wenn du merkst, dass du ein totes Pferd reitest, steig ab",8
"if you fly with the crows, you get shot with the crows","Mitgefangen, mitgehangen",9
"if you give a mouse a cookie, he'll always ask for a glass of milk","Gib dem Teufel den kleinen Finger, und er nimmt die ganze Hand",10
"if you lie down with dogs, you get up with fleas","Wer sich in die Nesseln setzt, darf sich nicht über Blasen beklagen",6
"if you lie down with dogs, you will get up with fleas","Wer sich in die Nesseln setzt, darf sich nicht über Blasen beklagen",6
if you lie with dogs you will get fleas,"Wer sich in die Nesseln setzt, darf sich nicht über Blasen beklagen",6
"if you mess with the bull, you get the horns","Wer sich mit dem Stier anlegt, bekommt die Hörner zu spüren",7
"if you must dance with the devil, you might as well know his favorite song","Wenn du mit dem Teufel isst, musst du einen langen Löffel haben",9
"if you pay bananas, you get monkeys","Wer Peanuts zahlt, bekommt Affen",8
"if you pay peanuts, you get monkeys","Wer Peanuts zahlt, bekommt Affen",10
"if you play with fire, you will get burned","Wer mit dem Feuer spielt, verbrennt sich die Finger",10
"if you think that you know everything, then you're a jack ass",Hochmut kommt vor dem Fall,7
"if you want a thing done well, do it yourself","Was du heute kannst besorgen, das verschiebe nicht auf morgen",5
"if you want peace, prepare for war","Willst du den Frieden, rüste dich zum Krieg",9
"if you're growing in age, then you're nearing to the graveyard",Alles Leben endet im Tod,4
"if you've got it, flaunt it","Was man hat, das hat man",4
ignorance is bliss,"Was ich nicht weiß, macht mich nicht heiß",10
ill news spreads apace,Schlechte Nachrichten verbreiten sich schnell,9
ill-gotten gains never prosper,Unrecht Gut gedeiht nicht,10
imitation is the sincerest form of flattery,Nachahmung ist die höchste Form der Anerkennung,8
"in for a dime, in for a dollar","Wer A sagt, muss auch B sagen",9
"in for a penny, in for a pound","Wer A sagt, muss auch B sagen",10
"in for an inch, in for a mile","Wer A sagt, muss auch B sagen",9
"in the country of the blind, the one-eyed man is king",Unter Blinden ist der Einäugige König,10
"in the kingdom of the blind, the one eyed man is king",Unter Blinden ist der Einäugige König,10
"in the land of the blind, the one-eyed man is king",Unter Blinden ist der Einäugige König,10
"in the valley of the blind, the one-eyed man is king",Unter Blinden ist der Einäugige König,10
"in unity, there is strength",Einigkeit macht stark,9
in vino veritas,Im Wein liegt Wahrheit,10
"in wine, there is truth",Im Wein liegt Wahrheit,10
into every life a little rain must fall,Es ist nicht alle Tage Sonnenschein,8
it ain't over 'til the fat lady sings,Man soll den Tag nicht vor dem Abend loben,8
it ain't over till it's over,Man soll den Tag nicht vor dem Abend loben,9
it ain't over till the fat lady sings,Man soll den Tag nicht vor dem Abend loben,8
it ain't over till/until it's over,Man soll den Tag nicht vor dem Abend loben,9
it ain't over until the fat lady sings,Man soll den Tag nicht vor dem Abend loben,8
it goes without saying,Das versteht sich von selbst,10
it is a small world,Die Welt ist klein,10
it is all grist to the mill,Alles ist ihm recht,5
it is always darkest before the dawn,Die Nacht ist am dunkelsten vor der Dämmerung,6
it is always darkest just before the dawn,Die Nacht ist am dunkelsten vor der Dämmerung,6
it is an ill wind,Ein Unglück kommt selten allein,4
it is best to be on the safe side,Vorsicht ist besser als Nachsicht,10
it is better to be smarter than you appear than to appear smarter than you are,Stille Wasser sind tief,6
it is better to give than to receive,Geben ist seliger denn Nehmen,10
it is better to light a candle than curse the darkness,"Besser ein Licht anzünden, als über die Dunkelheit klagen",9
it is darkest before the dawn,Die Nacht ist am dunkelsten vor der Dämmerung,6
it is darkest just before the dawn,Die Nacht ist am dunkelsten vor der Dämmerung,6
it is easier for a camel to go through the eye of a needle than for a rich man to enter into the kingdom of god,"Eher geht ein Kamel durch ein Nadelöhr, als dass ein Reicher in das Reich Gottes kommt",10
it is easy to be wise after the event,Hinterher ist man immer schlauer,10
it is easy to find a stick to beat a dog,"Einen Hund schlägt man, wenn man ihn treffen will",6
it is never too late,Besser spät als nie,9
it is no use crying over spilt milk,"Es nützt nichts, über verschüttete Milch zu weinen",7
it is no use locking the stable door after the horse has bolted,Zu spät ist zu spät,6
"it is not enough to learn how to ride, you must also learn how to fall","Wo gehobelt wird, da fallen Späne",5
it is not the whistle that pulls the train,"Nicht groß tut’s, sondern stark",4
it is the early bird that gets the worm,Morgenstund hat Gold im Mund,10
it is the empty can that makes the most noise,Leere Fässer donnern am lautesten,10
it is the last straw that breaks the camel's back,Der letzte Tropfen bringt das Fass zum Überlaufen,10
it is the squeaky wheel that gets the grease,"Wer am lautesten schreit, wird zuerst gehört",7
it is what it is,"Es ist, wie es ist",10
it isn't over 'til the fat lady sings,"Ende gut, alles gut",4
it isn't over till the fat lady sings,"Ende gut, alles gut",4
it isn't over until the fat lady sings,"Ende gut, alles gut",4
it isn't the whistle that pulls the train,"Nicht groß tut’s, sondern stark",4
it needs a hundred lies to cover a single lie,Eine Lüge hat kurze Beine,7
it never rains but it pours,Ein Unglück kommt selten allein,10
it never rains but that it pours,Ein Unglück kommt selten allein,10
it takes a heap o' livin' to make a house a home,"Eigenes Heim, Glück allein",5
it takes a heap of living to make a house a home,"Eigenes Heim, Glück allein",5
it takes a lot of living to make a house a home,"Eigenes Heim, Glück allein",5
it takes a thief to catch a thief,Gleich und Gleich gesellt sich gern,3
it takes all kinds,Jeder Jeck ist anders,6
it takes all kinds to make a world,Jeder Jeck ist anders,7
it takes all sorts,Jeder Jeck ist anders,6
it takes all sorts to make a world,Jeder Jeck ist anders,7
it takes one to know one,Gleich und Gleich gesellt sich gern,5
it takes two to make a quarrel,Zum Streiten gehören immer zwei,10
it takes two to quarrel,Zum Streiten gehören immer zwei,10
it takes two to tango,Zum Streiten gehören immer zwei,8
it will be the same a hundred years hence,In hundert Jahren ist alles vorbei,8
it will come back and haunt you,Man sieht sich immer zweimal im Leben,6
it's a long road that has no turning,"Wo ein Wille ist, ist auch ein Weg",4
it's a man's world,Die Welt ist ein Männerladen,3
"it's a tough job, but someone's got to do it",Einer muss es ja machen,9
it's all fun and games until someone loses an eye,Mit dem Feuer spielt man nicht,6
it's an ill bird that fouls its own nest,"Man sägt nicht an dem Ast, auf dem man sitzt",7
it's an ill wind that blows no good,"Es ist kein Unglück so groß, es hat sein Glück im Schoß",8
it's an ill wind that blows no one any good,"Es ist kein Unglück so groß, es hat sein Glück im Schoß",9
it's an ill wind that blows nobody any good,"Es ist kein Unglück so groß, es hat sein Glück im Schoß",9
it's an ill wind that blows nobody good,"Es ist kein Unglück so groß, es hat sein Glück im Schoß",8
it's better to ask forgiveness than permission,Lieber hinterher um Verzeihung bitten als vorher um Erlaubnis,7
it's easier to ask forgiveness than to get permission,Lieber hinterher um Verzeihung bitten als vorher um Erlaubnis,7
it's greek to me,Das kommt mir spanisch vor,9
it's lonely at the top,An der Spitze ist man einsam,8
it's never too late to mend,Besser spät als nie,8
it's not over 'til the fat lady sings,Man soll den Tag nicht vor dem Abend loben,9
it's not over till the fat lady sings,Man soll den Tag nicht vor dem Abend loben,9
it's not over until the fat lady sings,Man soll den Tag nicht vor dem Abend loben,9
it's not what you know but who you know,"Beziehungen schaden nur dem, der keine hat",10
it's not what you know but whom you know,"Beziehungen schaden nur dem, der keine hat",10
it's not what you say but how you say it,Der Ton macht die Musik,10
it's the hit dog that howls,Getroffene Hunde bellen,10
it's the little things,Kleinigkeiten machen das Leben schön,6
it's the thought that counts,Der gute Wille zählt,9
iura novit curia,Das Recht kennt das Gericht,7
"jack of all trades, master of none/one/some","Alleskönner, aber nichts richtig",6
"judge not, lest ye be judged","Richtet nicht, damit ihr nicht gerichtet werdet",10
"judge not, that ye be not judged","Richtet nicht, damit ihr nicht gerichtet werdet",10
"judge not, that you be not judged","Richtet nicht, damit ihr nicht gerichtet werdet",10
justice delayed is justice denied,Verzögerte Gerechtigkeit ist verweigerte Gerechtigkeit,7
justice is blind,Die Justiz ist blind,8
karma is a bitch,"Wie man in den Wald hineinruft, so schallt es heraus",7
karma's a bitch,"Wie man in den Wald hineinruft, so schallt es heraus",7
keep your chin up,Kopf hoch,10
keep your friends close and your enemies closer,"Halte deine Freunde nahe bei dir, aber deine Feinde noch näher",8
"keep your friends close, and your enemies closer","Halte deine Freunde nahe bei dir, aber deine Feinde noch näher",8
keep your powder dry,Pulver trocken halten,6
kids will be kids,Kinder bleiben Kinder,8
let the dead bury the dead,Lass die Toten ihre Toten begraben,8
let the punishment fit the crime,Die Strafe muss der Tat angemessen sein,9
let well alone,Never change a winning team,8
let your hair down,Lass die Sau raus,8
life begins at forty,Mit vierzig fängt das Leben erst richtig an,7
life is not all beer and skittles,Das Leben ist kein Ponyhof,10
life is too short not to do something that matters,"Das Leben ist zu kurz, um es zu verschwenden",7
life is what you make it,Jeder ist seines Glückes Schmied,10
life's a bitch and then you die,"Das Leben ist hart, dann stirbt man",8
"life's a bitch, and then you die","Das Leben ist hart, dann stirbt man",9
lightning does not strike twice in the same place,Ein Unglück kommt selten zweimal,7
lightning doesn't strike twice in the same place,Ein Unglück kommt selten zweimal,7
lightning never strikes the same place twice,Ein Unglück kommt selten zweimal,7
lightning never strikes twice,Ein Unglück kommt selten zweimal,7
lightning never strikes twice in the same place,Ein Unglück kommt selten zweimal,7
like father like son,"Wie der Vater, so der Sohn",10
"like father, like son","Wie der Vater, so der Sohn",10
"like mother, like daughter","Wie die Mutter, so die Tochter",10
little pitchers have big ears,Kleine Fässer haben große Ohren,6
little pitchers have long ears,Kleine Fässer haben große Ohren,6
little strokes fell great oaks,Steter Tropfen höhlt den Stein,10
little things please little minds,Kleingeister freuen sich an Kleinigkeiten,6
live and let live,Leben und leben lassen,10
"live by the sword, die by the sword","Wer mit dem Schwert lebt, wird durch das Schwert umkommen",9
live each day as if it were your last and one day you will surely be right,"Lebe jeden Tag, als wäre es dein letzter",8
"live fast, die young","Schnell gelebt, früh gestorben",6
"live for today, for tomorrow never comes",Carpe diem,7
"live not to eat, but eat to live","Wir leben nicht, um zu essen, wir essen, um zu leben",9
live to fight another day,Lieber ein Ende mit Schrecken als ein Schrecken ohne Ende,4
"location, location, location","Lage, Lage, Lage",9
"long absent, soon forgotten","Aus den Augen, aus dem Sinn",10
look before you leap,"Erst denken, dann handeln",9
lookers-on see most of the game,Zuschauer sehen mehr als die Spieler,8
looks can be deceiving,Der Schein trügt,10
loose lips sink ships,"Reden ist Silber, Schweigen ist Gold",6
loss and gain are brothers twain,"Wo Licht ist, ist auch Schatten",7
love cannot be forced,Liebe lässt sich nicht erzwingen,9
love conquers all,Liebe überwindet alles,8
love is blind,Liebe macht blind,10
love makes the world go around,Liebe bewegt die Welt,6
love of money is the root of all evil,Geld ist die Wurzel allen Übels,10
love the sinner but hate the sin,"Hasse die Sünde, nicht den Sünder",9
"love the sinner, hate the sin","Hasse die Sünde, nicht den Sünder",9
love will find a way,Liebe findet einen Weg,8
"lucky at cards, unlucky in love","Glück im Spiel, Pech in der Liebe",10
make hay while the sun shines,"Man muss das Eisen schmieden, solange es heiß ist",10
make love not war,"Make love, not war",9
man does not live by bread alone,Der Mensch lebt nicht vom Brot allein,10
man is a wolf to man,Der Mensch ist dem Menschen ein Wolf,10
man plans and god laughs,"Der Mensch denkt, Gott lenkt",8
"man proposes, god disposes","Der Mensch denkt, Gott lenkt",10
"man proposes, heaven disposes","Der Mensch denkt, Gott lenkt",9
man shall not live by bread alone,Der Mensch lebt nicht vom Brot allein,10
"man thinks, god laughs","Der Mensch denkt, Gott lenkt",8
manners maketh man,Kleider machen Leute,6
many a little makes a mickle,Kleinvieh macht auch Mist,10
many a mickle makes a muckle,Kleinvieh macht auch Mist,10
many a true word is spoken in jest,Im Scherz sagt man die Wahrheit,8
many hands make light work,"Viele Hände, schnelles Ende",10
march comes in like a lion and goes out like a lamb,"Der März macht, was er will",6
marriages are made in heaven,Ehen werden im Himmel geschlossen,8
"marry in haste, repent at leisure","Drum prüfe, wer sich ewig bindet",9
measure twice and cut once,"Drum prüfe, wer sich ewig bindet",4
"measure twice, cut once",Eile mit Weile,6
men are blind in their own cause,"Betrunkene und Verliebte sehen nur, was sie sehen wollen",3
mess with the bull and you get the horns,"Wie man in den Wald hineinruft, so schallt es heraus",7
"mess with the bull, get the horns","Wie man in den Wald hineinruft, so schallt es heraus",7
might is right,Macht geht vor Recht,9
might makes right,Macht geht vor Recht,9
mighty oaks from little acorns grow,Aus kleinen Eicheln wachsen große Eichen,6
misery enjoys company,Geteiltes Leid ist halbes Leid,7
misery loves company,Geteiltes Leid ist halbes Leid,8
misfortunes never come alone,Ein Unglück kommt selten allein,10
misfortunes never come singly,Ein Unglück kommt selten allein,10
moderation in all things,Die Dosis macht das Gift,7
money can't buy happiness,Geld allein macht nicht glücklich,10
money cannot buy happiness,Geld allein macht nicht glücklich,10
"money demands care, you abuse it and it disappears","Wer den Pfennig nicht ehrt, ist des Talers nicht wert",7
money does not grow on trees,Geld wächst nicht auf Bäumen,9
money does not smell,Geld stinkt nicht,10
money does not stink,Geld stinkt nicht,10
money doesn't grow on trees,Geld wächst nicht auf Bäumen,9
"money earned by deceit, goes by deceit","Wie gewonnen, so zerronnen",7
money has no smell,Geld stinkt nicht,10
money is not everything,Geld ist nicht alles,10
money is the root of all evil,Geld ist die Wurzel allen Übels,9
"money makes many things, but also makes devil dance",Geld regiert die Welt,6
money makes the world go around,Geld regiert die Welt,10
money talks,Geld regiert die Welt,7
"more haste, less speed",Eile mit Weile,10
mud sticks,Etwas bleibt immer hängen,8
murder will out,Mord kommt immer ans Licht,9
music has charms to soothe the savage beast,Musik hat goldenen Boden,4
my enemy's enemy is my friend,Der Feind meines Feindes ist mein Freund,9
ne'er cast a clout till may be out,"Der April macht, was er will",6
nearly never won the race,Knapp daneben ist auch vorbei,8
necessity is the mother of innovation,Not macht erfinderisch,10
necessity is the mother of invention,Not macht erfinderisch,10
necessity knows no law,Not kennt kein Gebot,10
needs must,Not kennt kein Gebot,7
needs must when the devil drives,"Wenn der Teufel reitet, muss der Bauer laufen",6
neither a borrower nor a lender be,Leihen bringt Leiden,7
never ask the barber if you need a haircut,"Frag den Fuchs nicht, ob er auf die Gänse aufpassen will",6
never cast a clout until may be out,"Der April macht, was er will",5
never change a running system,Never change a running system,9
never give advice unless asked,Ungebetener Rat ist auch Schmeichelei,4
never judge a book by its cover,Beurteile ein Buch nicht nach seinem Einband,6
never let the sun go down on your anger,Lass die Sonne nicht über deinem Zorn untergehen,8
never let the truth get in the way of a good story,"Warum die Wahrheit sagen, wenn sich die Legende besser anhört",6
never look a gift horse in the mouth,Einem geschenkten Gaul schaut man nicht ins Maul,10
never put off until tomorrow what you can do today,"Was du heute kannst besorgen, das verschiebe nicht auf morgen",10
never say die,Die Hoffnung stirbt zuletzt,9
never say never,Sag niemals nie,10
never speak ill of the dead,Über die Toten nur Gutes,10
never tell tales out of school,"Was du nicht willst, dass man dir tu, das füg auch keinem andern zu",3
never too old to learn,"Man ist nie zu alt, um zu lernen",9
new brooms sweep clean,Neue Besen kehren gut,10
nice guys finish last,Die Guten sind die Dummen,7
"no bucks, no buck rogers",Ohne Moos nix los,7
no gain without pain,Ohne Fleiß kein Preis,10
no good deed ever goes unpunished,Undank ist der Welt Lohn,8
no good deed goes unpunished,Undank ist der Welt Lohn,8
"no guts, no glory","Wer nicht wagt, der nicht gewinnt",10
no man can serve two masters,Niemand kann zwei Herren dienen,10
no man is an island,Keiner ist eine Insel,7
"no matter how thin you slice it, it's still baloney",Scheiße bleibt Scheiße,8
"no matter how thin you slice it, it's still boloney",Scheiße bleibt Scheiße,8
"no matter how you slice it, it's still the same old baloney",Scheiße bleibt Scheiße,8
"no mill, no meal",Ohne Fleiß kein Preis,6
no news is good news,Keine Nachricht ist gute Nachricht,10
no one can make you feel inferior without your consent,Jeder ist seines Glückes Schmied,5
